web-scraper-order,web-scraper-start-url,location-name,location-address-street,location-address-locality,location-address-region,location-address-postal-code,location-contact-phone-main,location-contact-url-main,location-contact-url-main-href,link-location-address-locality,link-location-address-locality-href,link-location-address-region,link-location-address-region-href
"1584542042-1030","https://locations.dignityhealth.org/","Dignity Health Medical Group - Inland Empire","7291 Boulder Avenue","Highland","CA","92346","(909) 862-4226","Dignity Health Medical Group - Inland Empire","https://locations.dignityhealth.org/dignity-health-medical-group-inland-empire-highland-ca-MED_32","Highland","https://locations.dignityhealth.org/highland-ca","California","https://locations.dignityhealth.org/california"
"1584541983-844","https://locations.dignityhealth.org/","Mercy Medical Group - Midtown, Primary and Specialty Care","3000 Q Street","null","CA","95816","(916) 733-3333","Mercy Medical Group - Midtown, Primary and Specialty Care","https://locations.dignityhealth.org/mercy-medical-group-midtown-primary-and-specialty-care-sacramento-ca","Sacramento","https://locations.dignityhealth.org/sacramento-ca","California","https://locations.dignityhealth.org/california"
"1584542018-936","https://locations.dignityhealth.org/","Leavey Cancer Center","18300 Roscoe Blvd","null","CA","91325","(818) 885-5431","Leavey Cancer Center","https://locations.dignityhealth.org/leavey-cancer-center-northridge-ca","Northridge","https://locations.dignityhealth.org/northridge-ca","California","https://locations.dignityhealth.org/california"
"1584542040-1027","https://locations.dignityhealth.org/","Dignity Health Laboratories","217 W Central Ave","Lompoc","CA","93436","(855) 586-7660","Dignity Health Laboratories","https://locations.dignityhealth.org/dignity-health-laboratories-lompoc-ca","Lompoc","https://locations.dignityhealth.org/lompoc-ca","California","https://locations.dignityhealth.org/california"
"1584541965-681","https://locations.dignityhealth.org/","St. Joseph's Cancer Institute","1800 N California St","null","CA","95204","(209) 467-6560","St. Joseph's Cancer Institute","https://locations.dignityhealth.org/st-joseph's-cancer-institute-stockton-ca","Stockton","https://locations.dignityhealth.org/stockton-ca","California","https://locations.dignityhealth.org/california"
"1584541974-780","https://locations.dignityhealth.org/","Saint Francis Memorial Hospital Center Radiology Department","1199 Bush St.","San Francisco","CA","94109","(415) 353-6390","Saint Francis Memorial Hospital Center Radiology Department","https://locations.dignityhealth.org/saint-francis-memorial-hospital-center-radiology-department-san-francisco-ca-BAY_43","San Francisco","https://locations.dignityhealth.org/san-francisco-ca","California","https://locations.dignityhealth.org/california"
"1584541970-736","https://locations.dignityhealth.org/","Dominican Hospital Birth Center","1555 Soquel Dr","null","CA","95065","(831) 462-7678","Dominican Hospital Birth Center","https://locations.dignityhealth.org/dominican-hospital-birth-center-santa-cruz-ca","Santa Cruz","https://locations.dignityhealth.org/santa-cruz-ca","California","https://locations.dignityhealth.org/california"
"1584542118-1196","https://locations.dignityhealth.org/","Dignity Health Medical Group Liver Disease and Transplantation - St. Joseph’s","500 W Thomas Rd","Phoenix","AZ","85013","(602) 406-5483","Dignity Health Medical Group Liver Disease and Transplantation - St. Joseph’s","https://locations.dignityhealth.org/dignity-health-medical-group-liver-disease-and-transplantation-st-joseph%E2%80%99s-phoenix-az","Phoenix","https://locations.dignityhealth.org/phoenix-az","Arizona","https://locations.dignityhealth.org/arizona"
"1584541983-845","https://locations.dignityhealth.org/","Mercy Medical Group - Natomas, Primary and Specialty Care","4400 Duckhorn Drive","Sacramento","CA","95834","(916) 575-8000","Mercy Medical Group - Natomas, Primary and Specialty Care","https://locations.dignityhealth.org/mercy-medical-group-natomas-primary-and-specialty-care-sacramento-ca","Sacramento","https://locations.dignityhealth.org/sacramento-ca","California","https://locations.dignityhealth.org/california"
"1584541970-734","https://locations.dignityhealth.org/","Dominican Hospital","1555 Soquel Dr","null","CA","95065","(831) 462-7700","Dominican Hospital","https://locations.dignityhealth.org/dominican-hospital-santa-cruz-ca","Santa Cruz","https://locations.dignityhealth.org/santa-cruz-ca","California","https://locations.dignityhealth.org/california"
"1584542118-1209","https://locations.dignityhealth.org/","Emergency Room at Arizona General Hospital - Ahwatukee","4328 E Chandler Blvd","null","AZ","85048","(480) 454-3630","Emergency Room at Arizona General Hospital - Ahwatukee","https://locations.dignityhealth.org/emergency-room-at-arizona-general-hospital-ahwatukee-phoenix-az","Phoenix","https://locations.dignityhealth.org/phoenix-az","Arizona","https://locations.dignityhealth.org/arizona"
"1584542038-994","https://locations.dignityhealth.org/","Cardiac And Vascular Center - St. Mary Medical Center - Long Beach","1050 Linden Ave","null","CA","90813","(562) 491-4895","Cardiac And Vascular Center - St. Mary Medical Center - Long Beach","https://locations.dignityhealth.org/cardiac-and-vascular-center-st-mary-medical-center-long-beach-long-beach-ca","Long Beach","https://locations.dignityhealth.org/long-beach-ca","California","https://locations.dignityhealth.org/california"
"1584541994-899","https://locations.dignityhealth.org/","St. Elizabeth Outpatient Imaging Center (Lab inside)","2580 Sister Mary Columba Drive","null","CA","96080","(530) 529-9729","St. Elizabeth Outpatient Imaging Center (Lab inside)","https://locations.dignityhealth.org/st-elizabeth-outpatient-imaging-center-(lab-inside)-red-bluff-ca","Red Bluff","https://locations.dignityhealth.org/red-bluff-ca","California","https://locations.dignityhealth.org/california"
"1584542143-1251","https://locations.dignityhealth.org/","Emergency Room at Arizona General Hospital - Chandler McQueen","1064 E Ray Rd","null","AZ","85225","(480) 494-5100","Emergency Room at Arizona General Hospital - Chandler McQueen","https://locations.dignityhealth.org/emergency-room-at-arizona-general-hospital-chandler-mcqueen-chandler-az","Chandler","https://locations.dignityhealth.org/chandler-az","Arizona","https://locations.dignityhealth.org/arizona"
"1584542038-1000","https://locations.dignityhealth.org/","Dignity Health - St. Mary Medical Center","1050 Linden Ave.","null","CA","90813","(562) 491-9000","Dignity Health - St. Mary Medical Center","https://locations.dignityhealth.org/dignity-health-st-mary-medical-center-long-beach-ca","Long Beach","https://locations.dignityhealth.org/long-beach-ca","California","https://locations.dignityhealth.org/california"
"1584542107-1179","https://locations.dignityhealth.org/","Dignity Health Medical Group Family and Sports Medicine - Ahwatukee","4545 E Chandler Blvd","Phoenix","AZ","85048","(480) 728-4400","Dignity Health Medical Group Family and Sports Medicine - Ahwatukee","https://locations.dignityhealth.org/dignity-health-medical-group-family-and-sports-medicine-ahwatukee-phoenix-az","Tempe","https://locations.dignityhealth.org/emergency-room-at-arizona-general-hospital-tempe-tempe-az","Arizona","https://locations.dignityhealth.org/arizona"
"1584542025-954","https://locations.dignityhealth.org/","Dignity Health Mt. Shasta Community Clinic","912 Pine Street","null","CA","96067","(530) 926-7131","Dignity Health Mt. Shasta Community Clinic","https://locations.dignityhealth.org/dignity-health-mt-shasta-community-clinic-mount-shasta-ca","Mount Shasta","https://locations.dignityhealth.org/mount-shasta-ca","California","https://locations.dignityhealth.org/california"
"1584541979-797","https://locations.dignityhealth.org/","Baby & Family Department - Community Hospital of San Bernardino - San Bernardino","1805 Medical Center Dr","null","CA","92411","(909) 806-1946","Baby & Family Department - Community Hospital of San Bernardino - San Bernardino","https://locations.dignityhealth.org/baby-&-family-department-community-hospital-of-san-bernardino-san-bernardino-san-bernardino-ca","San Bernardino","https://locations.dignityhealth.org/san-bernardino-ca","California","https://locations.dignityhealth.org/california"
"1584541998-903","https://locations.dignityhealth.org/","Dignity Health Urgent Care Pismo Beach","877 Oak Park Blvd","null","CA","93449","(805) 474-8450","Dignity Health Urgent Care Pismo Beach","https://locations.dignityhealth.org/dignity-health-urgent-care-pismo-beach-pismo-beach-ca","Pismo Beach","https://locations.dignityhealth.org/pismo-beach-ca","California","https://locations.dignityhealth.org/california"
"1584542003-914","https://locations.dignityhealth.org/","Dignity Health Medical Group - Women's Health Center","1700 N. Rose Ave.","Oxnard","CA","93030","(805) 383-5270","Dignity Health Medical Group - Women's Health Center","https://locations.dignityhealth.org/dignity-health-medical-group-women's-health-center-oxnard-ca","Oxnard","https://locations.dignityhealth.org/oxnard-ca","California","https://locations.dignityhealth.org/california"
"1584542036-979","https://locations.dignityhealth.org/","Cancer Care Department - California Hospital Medical Center - Los Angeles","1401 S Grand Ave","null","CA","90015","(213) 770-0276","Cancer Care Department - California Hospital Medical Center - Los Angeles","https://locations.dignityhealth.org/cancer-care-department-california-hospital-medical-center-los-angeles-los-angeles-ca","Los Angeles","https://locations.dignityhealth.org/los-angeles-ca","California","https://locations.dignityhealth.org/california"
"1584541944-629","https://locations.dignityhealth.org/","Dignity Health Medical Group - Henderson, NV","10001 S Eastern Ave","Henderson","NV","89052","(702) 616-5801","Dignity Health Medical Group - Henderson, NV","https://locations.dignityhealth.org/dignity-health-medical-group-henderson-nv-henderson-nv","Henderson","https://locations.dignityhealth.org/henderson-nv","Nevada","https://locations.dignityhealth.org/nevada"
"1584542118-1198","https://locations.dignityhealth.org/","Dignity Health Medical Group Pediatrics - St. Joseph's","500 W Thomas Rd","Phoenix","AZ","85013","(602) 406-3520","Dignity Health Medical Group Pediatrics - St. Joseph's","https://locations.dignityhealth.org/dignity-health-medical-group-pediatrics-st-joseph's-phoenix-az","Phoenix","https://locations.dignityhealth.org/phoenix-az","Arizona","https://locations.dignityhealth.org/arizona"
"1584541974-776","https://locations.dignityhealth.org/","Saint Francis Hospital - Acute Rehabilitation Center","900 Hyde Street","San Francisco","CA","94109","(415) 353-6270","Saint Francis Hospital - Acute Rehabilitation Center","https://locations.dignityhealth.org/saint-francis-hospital-acute-rehabilitation-center-san-francisco-ca","San Francisco","https://locations.dignityhealth.org/san-francisco-ca","California","https://locations.dignityhealth.org/california"
"1584542080-1126","https://locations.dignityhealth.org/","Emergency Room - St. John's Pleasant Valley Hospital","2309 Antonio Avenue","null","CA","93010","(805) 389-5800","Emergency Room - St. John's Pleasant Valley Hospital","https://locations.dignityhealth.org/emergency-room-st-john's-pleasant-valley-hospital-camarillo-ca","Camarillo","https://locations.dignityhealth.org/camarillo-ca","California","https://locations.dignityhealth.org/california"
"1584542038-1008","https://locations.dignityhealth.org/","Medical Mall Pharmacy - St. Mary Medical Center - Long Beach","1043 Elm Ave","Long Beach","CA","90813","(562) 491-9003","Medical Mall Pharmacy - St. Mary Medical Center - Long Beach","https://locations.dignityhealth.org/medical-mall-pharmacy-st-mary-medical-center-long-beach-long-beach-ca","Long Beach","https://locations.dignityhealth.org/long-beach-ca","California","https://locations.dignityhealth.org/california"
"1584542076-1115","https://locations.dignityhealth.org/","Dignity Health Medical Group - Dominican Urgent Care","1820 41st Avenue","Capitola","CA","95010","(831) 684-7611","Dignity Health Medical Group - Dominican Urgent Care","https://locations.dignityhealth.org/dignity-health-medical-group-dominican-urgent-care-capitola-ca","Capitola","https://locations.dignityhealth.org/capitola-ca","California","https://locations.dignityhealth.org/california"
"1584542031-974","https://locations.dignityhealth.org/","Mercy Medical Center Merced","333 Mercy Ave","null","CA","95340","(209) 564-5000","Mercy Medical Center Merced","https://locations.dignityhealth.org/mercy-medical-center-merced-merced-ca","Merced","https://locations.dignityhealth.org/merced-ca","California","https://locations.dignityhealth.org/california"
"1584541942-623","https://locations.dignityhealth.org/","Emergency Room - Dignity Health - St. Rose Dominican, West Flamingo - Las Vegas, NV","9880 W Flamingo Rd","null","NV","89147","(702) 216-7335","Emergency Room - Dignity Health - St. Rose Dominican, West Flamingo - Las Vegas, NV","https://locations.dignityhealth.org/emergency-room-dignity-health-st-rose-dominican-west-flamingo-las-vegas-nv-las-vegas-nv","Las Vegas","https://locations.dignityhealth.org/las-vegas-nv","Nevada","https://locations.dignityhealth.org/nevada"
"1584541998-904","https://locations.dignityhealth.org/","Medical Clinic at James Way","2 James Way","Pismo Beach","CA","93449","(805) 773-4882","Medical Clinic at James Way","https://locations.dignityhealth.org/medical-clinic-at-james-way-pismo-beach-ca","Pismo Beach","https://locations.dignityhealth.org/pismo-beach-ca","California","https://locations.dignityhealth.org/california"
"1584542049-1049","https://locations.dignityhealth.org/","Dignity Health - Glendale Memorial Hospital","1420 S. Central Ave.","null","CA","91204","(818) 502-1900","Dignity Health - Glendale Memorial Hospital","https://locations.dignityhealth.org/dignity-health-glendale-memorial-hospital-glendale-ca","Glendale","https://locations.dignityhealth.org/glendale-ca","California","https://locations.dignityhealth.org/california"
"1584542029-965","https://locations.dignityhealth.org/","St. Mary's Sister Diane Grassilli Center for Women's Health","1 Shrader St.","San Francisco","CA","94117","(415) 750-4377","St. Mary's Sister Diane Grassilli Center for Women's Health","https://locations.dignityhealth.org/st-mary's-sister-diane-grassilli-center-for-women's-health-san-francisco-ca","Mill Valley","https://locations.dignityhealth.org/dignity-health-gohealth-urgent-care-mill-valley-mill-valley-ca","California","https://locations.dignityhealth.org/california"
"1584541970-725","https://locations.dignityhealth.org/","Dignity Health Medical Group - Dominican - Infectious Diseases, Internal Medicine and Endocrinology","1595 Soquel Drive","Santa Cruz","CA","95065","(831) 475-8834","Dignity Health Medical Group - Dominican - Infectious Diseases, Internal Medicine and Endocrinology","https://locations.dignityhealth.org/dignity-health-medical-group-dominican-infectious-diseases-internal-medicine-and-endocrinology-santa-cruz-ca","Santa Cruz","https://locations.dignityhealth.org/santa-cruz-ca","California","https://locations.dignityhealth.org/california"
"1584541994-898","https://locations.dignityhealth.org/","St. Elizabeth Community Hospital","2550 Sister Mary Columba Dr.","null","CA","96080","(530) 529-8000","St. Elizabeth Community Hospital","https://locations.dignityhealth.org/st-elizabeth-community-hospital-red-bluff-ca","Red Bluff","https://locations.dignityhealth.org/red-bluff-ca","California","https://locations.dignityhealth.org/california"
"1584542118-1190","https://locations.dignityhealth.org/","Dignity Health Medical Group AZ - Radiology Department","350 W Thomas Rd","null","AZ","85013","(602) 406-3464","Dignity Health Medical Group AZ - Radiology Department","https://locations.dignityhealth.org/dignity-health-medical-group-az-radiology-department-phoenix-az","Phoenix","https://locations.dignityhealth.org/phoenix-az","Arizona","https://locations.dignityhealth.org/arizona"
"1584541983-831","https://locations.dignityhealth.org/","Diagnostic Imaging - Midtown","3000 Q St","null","CA","95816","(916) 733-5342","Diagnostic Imaging - Midtown","https://locations.dignityhealth.org/diagnostic-imaging-midtown-sacramento-ca","Sacramento","https://locations.dignityhealth.org/sacramento-ca","California","https://locations.dignityhealth.org/california"
"1584542036-991","https://locations.dignityhealth.org/","Stroke Care - California Hospital Medical Center - Los Angeles","1401 S Grand Ave","null","CA","90015","(888) 742-2462","Stroke Care - California Hospital Medical Center - Los Angeles","https://locations.dignityhealth.org/stroke-care-california-hospital-medical-center-los-angeles-los-angeles-ca","Los Angeles","https://locations.dignityhealth.org/los-angeles-ca","California","https://locations.dignityhealth.org/california"
"1584541942-614","https://locations.dignityhealth.org/","Dignity Health - St. Rose Dominican Hospital, West Flamingo - Las Vegas, NV","9880 W Flamingo Rd","null","NV","89147","(702) 216-7335","Dignity Health - St. Rose Dominican Hospital, West Flamingo - Las Vegas, NV","https://locations.dignityhealth.org/dignity-health-st-rose-dominican-hospital-west-flamingo-las-vegas-nv-las-vegas-nv","Las Vegas","https://locations.dignityhealth.org/las-vegas-nv","Nevada","https://locations.dignityhealth.org/nevada"
"1584542082-1128","https://locations.dignityhealth.org/","Connected Living","200 Mercy Oaks Dr","null","CA","96003","(530) 223-6034","Connected Living","https://locations.dignityhealth.org/connected-living-redding-ca-Nstate_07","Burney","https://locations.dignityhealth.org/connected-living-burney-services-burney-ca","California","https://locations.dignityhealth.org/california"
"1584541970-743","https://locations.dignityhealth.org/","Emergency Room - Dominican Hospital","1555 Soquel Dr","null","CA","95065","(831) 462-7700","Emergency Room - Dominican Hospital","https://locations.dignityhealth.org/emergency-room-dominican-hospital-santa-cruz-ca","Santa Cruz","https://locations.dignityhealth.org/santa-cruz-ca","California","https://locations.dignityhealth.org/california"
"1584541942-615","https://locations.dignityhealth.org/","Dignity Health Medical Group - Peccole Plaza - Las Vegas, NV","8689 W Charleston Blvd","Las Vegas","NV","89117","(702) 616-5801","Dignity Health Medical Group - Peccole Plaza - Las Vegas, NV","https://locations.dignityhealth.org/dignity-health-medical-group-peccole-plaza-las-vegas-nv-las-vegas-nv","Las Vegas","https://locations.dignityhealth.org/las-vegas-nv","Nevada","https://locations.dignityhealth.org/nevada"
"1584542029-964","https://locations.dignityhealth.org/","Dignity Health-GoHealth Urgent Care Lower Pacific Heights","1801 Divisadero St","null","CA","94115","(415) 965-7944","Dignity Health-GoHealth Urgent Care Lower Pacific Heights","https://locations.dignityhealth.org/dignity-health-gohealth-urgent-care-lower-pacific-heights-san-francisco-ca","Mill Valley","https://locations.dignityhealth.org/dignity-health-gohealth-urgent-care-mill-valley-mill-valley-ca","California","https://locations.dignityhealth.org/california"
"1584541970-742","https://locations.dignityhealth.org/","Dominican MRI Center","1545 Soquel Dr.","null","CA","95065","(831) 476-7711","Dominican MRI Center","https://locations.dignityhealth.org/dominican-mri-center-santa-cruz-ca","Santa Cruz","https://locations.dignityhealth.org/santa-cruz-ca","California","https://locations.dignityhealth.org/california"
"1584542038-1024","https://locations.dignityhealth.org/","Women's Heart Center - St. Mary Medical Center - Long Beach","1725 Western Ave","null","CA","90813","(562) 491-9000","Women's Heart Center - St. Mary Medical Center - Long Beach","https://locations.dignityhealth.org/women's-heart-center-st-mary-medical-center-long-beach-long-beach-ca","Long Beach","https://locations.dignityhealth.org/long-beach-ca","California","https://locations.dignityhealth.org/california"
"1584541974-784","https://locations.dignityhealth.org/","Saint Francis Memorial Hospital Radiation Oncology","900 Hyde St Level B","null","CA","94109","(415) 353-6420","Saint Francis Memorial Hospital Radiation Oncology","https://locations.dignityhealth.org/saint-francis-memorial-hospital-radiation-oncology-san-francisco-ca","San Francisco","https://locations.dignityhealth.org/san-francisco-ca","California","https://locations.dignityhealth.org/california"
"1584542044-1037","https://locations.dignityhealth.org/","Hand Therapy Clinic","155 Glasson Way","null","CA","95945","(530) 274-6170","Hand Therapy Clinic","https://locations.dignityhealth.org/hand-therapy-clinic-grass-valley-ca","Grass Valley","https://locations.dignityhealth.org/grass-valley-ca","California","https://locations.dignityhealth.org/california"
"1584541992-887","https://locations.dignityhealth.org/","Mercy Medical Center Redding","2175 Rosaline Ave","null","CA","96001","(530) 225-6000","Mercy Medical Center Redding","https://locations.dignityhealth.org/mercy-medical-center-redding-redding-ca","Redding","https://locations.dignityhealth.org/redding-ca","California","https://locations.dignityhealth.org/california"
"1584541944-632","https://locations.dignityhealth.org/","Dignity Health Rehabilitation Hospital - Henderson, NV","2930 Siena Heights Dr","null","NV","89052","(725) 726-2000","Dignity Health Rehabilitation Hospital - Henderson, NV","https://locations.dignityhealth.org/dignity-health-rehabilitation-hospital-henderson-nv-henderson-nv","Henderson","https://locations.dignityhealth.org/henderson-nv","Nevada","https://locations.dignityhealth.org/nevada"
"1584542095-1159","https://locations.dignityhealth.org/","Arroyo Grande Community Hospital - Imaging","345 S Halcyon Rd","null","CA","93420","(805) 473-7670","Arroyo Grande Community Hospital - Imaging","https://locations.dignityhealth.org/arroyo-grande-community-hospital-imaging-arroyo-grande-ca","Arroyo Grande","https://locations.dignityhealth.org/arroyo-grande-ca","California","https://locations.dignityhealth.org/california"
"1584542101-1174","https://locations.dignityhealth.org/","Angels Camp Medical Clinic","590 Stanislaus Ave","null","CA","95222","(209) 736-0813","Angels Camp Medical Clinic","https://locations.dignityhealth.org/angels-camp-medical-clinic-angels-camp-ca","Angels Camp","https://locations.dignityhealth.org/angels-camp-ca","California","https://locations.dignityhealth.org/california"
"1584542118-1189","https://locations.dignityhealth.org/","Dignity Health Arizona General Hospital - Laveen","7171 S 51st Ave","null","AZ","85339","(623) 584-5100","Dignity Health Arizona General Hospital - Laveen","https://locations.dignityhealth.org/dignity-health-arizona-general-hospital-laveen-phoenix-az","Phoenix","https://locations.dignityhealth.org/phoenix-az","Arizona","https://locations.dignityhealth.org/arizona"
"1584541967-720","https://locations.dignityhealth.org/","Stratford Health Center","206 South Stratford Avenue","Santa Maria","CA","93454","(805) 928-5767","Stratford Health Center","https://locations.dignityhealth.org/stratford-health-center-santa-maria-ca","Santa Maria","https://locations.dignityhealth.org/santa-maria-ca","California","https://locations.dignityhealth.org/california"
"1584542036-986","https://locations.dignityhealth.org/","Maternity & Neonatal Department - California Hospital Medical Center - Los Angeles","1401 S Grand Ave","null","CA","90015","(833) 472-5278","Maternity & Neonatal Department - California Hospital Medical Center - Los Angeles","https://locations.dignityhealth.org/maternity-&-neonatal-department-california-hospital-medical-center-los-angeles-los-angeles-ca","Los Angeles","https://locations.dignityhealth.org/los-angeles-ca","California","https://locations.dignityhealth.org/california"
"1584541965-682","https://locations.dignityhealth.org/","St. Joseph's Heart & Vascular Institute","1800 N California St","null","CA","95204","(209) 467-6540","St. Joseph's Heart & Vascular Institute","https://locations.dignityhealth.org/st-joseph's-heart-&-vascular-institute-stockton-ca","Stockton","https://locations.dignityhealth.org/stockton-ca","California","https://locations.dignityhealth.org/california"
"1584542118-1211","https://locations.dignityhealth.org/","St. Joseph's Hospital and Medical Center","350 W Thomas Rd","null","AZ","85013","(602) 406-3000","St. Joseph's Hospital and Medical Center","https://locations.dignityhealth.org/st-joseph's-hospital-and-medical-center-phoenix-az","Phoenix","https://locations.dignityhealth.org/phoenix-az","Arizona","https://locations.dignityhealth.org/arizona"
"1584542074-1105","https://locations.dignityhealth.org/","Diagnostic Imaging - San Juan Physicians Plaza - Carmichael, CA","6555 Coyle Ave","Carmichael","CA","95608","(916) 536-3666","Diagnostic Imaging - San Juan Physicians Plaza - Carmichael, CA","https://locations.dignityhealth.org/diagnostic-imaging-san-juan-physicians-plaza-carmichael-ca-carmichael-ca","Carmichael","https://locations.dignityhealth.org/carmichael-ca","California","https://locations.dignityhealth.org/california"
"1584542053-1070","https://locations.dignityhealth.org/","Outpatient Lactation Clinic - Mercy Hospital of Folsom","1600 Creekside Dr","Folsom","CA","95630","(916) 984-7347","Outpatient Lactation Clinic - Mercy Hospital of Folsom","https://locations.dignityhealth.org/outpatient-lactation-clinic-mercy-hospital-of-folsom-folsom-ca","Folsom","https://locations.dignityhealth.org/folsom-ca","California","https://locations.dignityhealth.org/california"
"1584541979-818","https://locations.dignityhealth.org/","Orthopedics Department - St. Bernardine Medical Center - San Bernardino","2101 N Waterman Ave","null","CA","92404","(909) 806-1882","Orthopedics Department - St. Bernardine Medical Center - San Bernardino","https://locations.dignityhealth.org/orthopedics-department-st-bernardine-medical-center-san-bernardino-san-bernardino-ca","San Bernardino","https://locations.dignityhealth.org/san-bernardino-ca","California","https://locations.dignityhealth.org/california"
"1584541972-752","https://locations.dignityhealth.org/","Emergency Room - French Hospital Medical Center","1911 Johnson Ave","null","CA","93401","(805) 543-5353","Emergency Room - French Hospital Medical Center","https://locations.dignityhealth.org/emergency-room-french-hospital-medical-center-san-luis-obispo-ca","San Luis Obispo","https://locations.dignityhealth.org/san-luis-obispo-ca","California","https://locations.dignityhealth.org/california"
