web-scraper-order,web-scraper-start-url,location-name,location-address-street,location-address-locality,location-address-region,location-address-postal-code,location-contact-phone-main,location-contact-url-main,location-contact-url-main-href
"1584540597-574","https://www.mymarinhealth.org/locations/","MarinHealth Neurology | A UCSF Health Clinic","3 Harbor Drive Suite 111","Sausalito","CA","Sausalito, CA 94965","1-415-683-2988","More information","https://www.mymarinhealth.org/locations/neurology-sausalito/"
"1584540597-598","https://www.mymarinhealth.org/locations/","MarinHealth Urology | A UCSF Health Clinic","651 First Street West Suite L","Sonoma","CA","Sonoma, CA 95476","1-415-461-4000","More information","https://www.mymarinhealth.org/locations/urology-sonoma/"
"1584540597-563","https://www.mymarinhealth.org/locations/","MarinHealth Family Medicine | A UCSF Health Clinic","75 Rowland Way Suite 230","Novato","CA","Novato, CA 94945","1-415-897-5171","More information","https://www.mymarinhealth.org/locations/family-medicine-novato/"
"1584540597-572","https://www.mymarinhealth.org/locations/","MarinHealth Men's Care Center | A UCSF Health Clinic","1240 South Eliseo Drive Suite 101","Greenbrae","CA","Greenbrae, CA 94904","1-415-507-1057","More information","https://www.mymarinhealth.org/locations/mens-health-center/"
"1584540597-578","https://www.mymarinhealth.org/locations/","MarinHealth Orthopedic Surgery | A UCSF Health Clinic","1240 South Eliseo Drive Suite 101","Greenbrae","CA","Greenbrae, CA 94904","1-415-925-8963","More information","https://www.mymarinhealth.org/locations/orthopedic-surgery-greenbrae/"
"1584540597-570","https://www.mymarinhealth.org/locations/","MarinHealth Internal Medicine | A UCSF Health Clinic","23 Reed Boulevard Suite 120","Mill Valley","CA","Mill Valley, CA 94941","1-415-795-7000","More information","https://www.mymarinhealth.org/locations/internal-medicine-mill-valley/"
"1584540597-555","https://www.mymarinhealth.org/locations/","MarinHealth Breast Surgical Oncology & Gynecologic Surgery | A UCSF Health Clinic","1350 South Eliseo Drive Suite 300","Greenbrae","CA","Greenbrae, CA 94904","1-415-842-5150","More information","https://www.mymarinhealth.org/locations/breast-surgical-oncology-gynecologic-surgery/"
"1584540597-597","https://www.mymarinhealth.org/locations/","MarinHealth Urology | A UCSF Health Clinic","75 Rowland Way Suite 200","Novato","CA","Novato, CA 94945","1-415-461-4000","More information","https://www.mymarinhealth.org/locations/urology-novato/"
"1584540597-586","https://www.mymarinhealth.org/locations/","MarinHealth Primary Care | A UCSF Health Clinic","651 1st Street West Suite H","Sonoma","CA","Sonoma, CA 95476","1-707-938-3870","More information","https://www.mymarinhealth.org/locations/primary-care-sonoma/"
"1584540597-567","https://www.mymarinhealth.org/locations/","MarinHealth Infectious Disease | A UCSF Health Clinic","1100 Larkspur Landing Circle Suite 10","Larkspur","CA","Larkspur, CA 94939","1-415-924-1214","More information","https://www.mymarinhealth.org/locations/infectious-disease/"
"1584540597-595","https://www.mymarinhealth.org/locations/","MarinHealth Urology | A UCSF Health Clinic","1240 South Eliseo Drive Suite 200","Greenbrae","CA","Greenbrae, CA 94904","1-415-461-4000","More information","https://www.mymarinhealth.org/locations/urology-greenbrae/"
"1584540597-556","https://www.mymarinhealth.org/locations/","MarinHealth Cardiovascular Medicine | A UCSF Health Clinic","75 Rowland Way Suite 250","Novato","CA","Novato, CA 94945","1-415-878-2910","More information","https://www.mymarinhealth.org/locations/cardiovascular-medicine-novato/"
"1584540597-577","https://www.mymarinhealth.org/locations/","MarinHealth Orthopedic Surgery | A UCSF Health Clinic","347 Andrieux Street","Sonoma","CA","Sonoma, CA 95476","1-707-938-3870","More information","https://www.mymarinhealth.org/locations/orthopedic-surgery-novato/"
"1584540597-554","https://www.mymarinhealth.org/locations/","MarinHealth Adult After-Hours Care  | A UCSF Health Clinic","75 Rowland Way Suite 200","Novato","CA","Novato, CA 94945","1-415-925-8950","More information","https://www.mymarinhealth.org/locations/adult-after-hours-care/"
"1584540597-562","https://www.mymarinhealth.org/locations/","MarinHealth Endocrine & Diabetes Care | A UCSF Health Clinic","900 South Eliseo Drive Suite 201","Greenbrae","CA","Greenbrae, CA 94904","1-415-461-1780","More information","https://www.mymarinhealth.org/locations/endocrine-diabetes-care-greenbrae/"
"1584540597-592","https://www.mymarinhealth.org/locations/","MarinHealth Urogynecology | A UCSF Health Clinic","75 Rowland Way Suite 275","Novato","CA","Novato, CA 94945","1-415-461-7800","More information","https://www.mymarinhealth.org/locations/urogynecology-novato/"
"1584540597-576","https://www.mymarinhealth.org/locations/","MarinHealth OB/GYN | A UCSF Health Clinic","75 Rowland Way Suite 275","Novato","CA","Novato, CA 94945","1-415-461-7800","More information","https://www.mymarinhealth.org/locations/ob-gyn-novato/"
"1584540597-569","https://www.mymarinhealth.org/locations/","MarinHealth Internal Medicine | A UCSF Health Clinic","75 Rowland Way Suite 200","Novato","CA","Novato, CA 94945","1-415-897-3174","More information","https://www.mymarinhealth.org/locations/internal-medicine-novato/"
"1584540597-585","https://www.mymarinhealth.org/locations/","MarinHealth Primary Care | A UCSF Health Clinic","1100 Larkspur Landing Circle Suite 10","Larkspur","CA","Larkspur, CA 94939","1-415-924-1214","More information","https://www.mymarinhealth.org/locations/primary-care-larkspur/"
"1584540597-588","https://www.mymarinhealth.org/locations/","MarinHealth Rheumatology | A UCSF Health Clinic","75 Rowland Way Suite 200","Novato","CA","Novato, CA 94945","1-415-464-9604","More information","https://www.mymarinhealth.org/locations/rheumatology-novato/"
"1584540597-564","https://www.mymarinhealth.org/locations/","MarinHealth Family Medicine | A UCSF Health Clinic","706 D Street","San Rafael","CA","San Rafael, CA 94901","1-415-256-1980","More information","https://www.mymarinhealth.org/locations/family-medicine-san-rafael/"
"1584540597-584","https://www.mymarinhealth.org/locations/","MarinHealth Primary Care | A UCSF Health Clinic","75 Rowland Way Suite 100","Novato","CA","Novato, CA 94945","1-415-897-9664","More information","https://www.mymarinhealth.org/locations/primary-care-novato/"
"1584540597-590","https://www.mymarinhealth.org/locations/","MarinHealth Supportive Care Center | A UCSF Health Clinic","1350 South Eliseo Drive Suite 130","Greenbrae","CA","Greenbrae, CA 94904","1-415-925-7450","More information","https://www.mymarinhealth.org/locations/supportive-care-center/"
