web-scraper-order,web-scraper-start-url,location-name,location-address-street,location-address-locality,location-address-region,location-address-postal-code,location-contact-phone-main,location-contact-url-main
"1584759956-98","https://www.umms.org/locations?page=1&perpage=50&q=&serv=Primary+Care%2fFamily+Medicine&dist=&zip=&view=list","Upper Chesapeake Primary Care at Forest Hill","2 Colgate Dr.","103										

										Forest Hill","MD","21050","410-420-0161","https://www.umms.org:443/uch/locations/upper-chesapeake-primary-care-forest-hill"
"1584759956-73","https://www.umms.org/locations?page=1&perpage=50&q=&serv=Primary+Care%2fFamily+Medicine&dist=&zip=&view=list","UM Capital Region Health Medical Group at Cheverly","2900 Mercy Lane","Lane
										

										Cheverly","MD","20785","301-618-2273","https://www.umms.org:443/capital/locations/um-capital-region-health-medical-group-at-cheverly"
"1584759956-95","https://www.umms.org/locations?page=1&perpage=50&q=&serv=Primary+Care%2fFamily+Medicine&dist=&zip=&view=list","University of Maryland Family & Community Medicine at Paca Street","29 S. Paca Street","Street
										

										Baltimore","MD","21201","667-214-1800","https://www.umms.org:443/ummc/locations/um-family-medicine-associates"
"1584759956-87","https://www.umms.org/locations?page=1&perpage=50&q=&serv=Primary+Care%2fFamily+Medicine&dist=&zip=&view=list","UM SJMG Internal Medicine at Towson - Suite 402","7505 Osler Drive","402										

										Towson","MD","21204","410-427-5330","https://www.umms.org:443/sjmc/locations/um-sjmg-internal-medicine-at-towson"
"1584759956-71","https://www.umms.org/locations?page=1&perpage=50&q=&serv=Primary+Care%2fFamily+Medicine&dist=&zip=&view=list","UM BWMG - Primary Care at Millersville","8601 Veterans Highway","111										

										Millersville","MD","21108","410-553-2900","https://www.umms.org:443/bwmc/locations/bwmg-primary-care-millersville"
"1584759956-97","https://www.umms.org/locations?page=1&perpage=50&q=&serv=Primary+Care%2fFamily+Medicine&dist=&zip=&view=list","Upper Chesapeake Primary Care at Bel Air","520 Upper Chesapeake Drive","308										

										Bel Air","MD","21014","443-643-4800","https://www.umms.org:443/uch/locations/primary-care-bel-air"
"1584759956-80","https://www.umms.org/locations?page=1&perpage=50&q=&serv=Primary+Care%2fFamily+Medicine&dist=&zip=&view=list","UM Harford Primary Care at North Avenue at Bel Air","2 North Avenue","101										

										Bel Air","MD","21014","410-838-6434","https://www.umms.org:443/uch/locations/harford-primary-care-north-avenue-bel-air"
"1584759956-84","https://www.umms.org/locations?page=1&perpage=50&q=&serv=Primary+Care%2fFamily+Medicine&dist=&zip=&view=list","UM SJMG Health Park at Hereford","14 A Mt. Carmel Road","Road
										

										Parkton","MD","21120","443-491-3333","https://www.umms.org:443/sjmc/locations/um-sjmg-health-park-hereford"
"1584759956-70","https://www.umms.org/locations?page=1&perpage=50&q=&serv=Primary+Care%2fFamily+Medicine&dist=&zip=&view=list","UM BWMG - Primary Care at Hanover","7556 Teague Road","450										

										Hanover","MD","21076","410-553-2900","https://www.umms.org:443/bwmc/locations/bwmg-primary-care-hanover"
"1584759956-79","https://www.umms.org/locations?page=1&perpage=50&q=&serv=Primary+Care%2fFamily+Medicine&dist=&zip=&view=list","UM Harford Primary Care at Havre de Grace","622 South Union Ave","Ave
										

										Havre de Grace","MD","21078","410-638-8900","https://www.umms.org:443/uch/locations/harford-primary-care-havre-de-grace"
"1584759956-94","https://www.umms.org/locations?page=1&perpage=50&q=&serv=Primary+Care%2fFamily+Medicine&dist=&zip=&view=list","UM SMG – Primary Care at Galena","119 C North Main Street","Street
										

										Galena","MD","21635","410-648-5150","https://www.umms.org:443/shore/locations/smg-primary-care-galena"
"1584759956-82","https://www.umms.org/locations?page=1&perpage=50&q=&serv=Primary+Care%2fFamily+Medicine&dist=&zip=&view=list","UM Shore Medical Pavilion at Easton","490 Cadmus Lane","Lane
										

										Easton","MD","21601","410-822-1000","https://www.umms.org:443/shore/locations/medical-pavilion-easton"
"1584759956-77","https://www.umms.org/locations?page=1&perpage=50&q=&serv=Primary+Care%2fFamily+Medicine&dist=&zip=&view=list","UM Faculty Physicians, Inc | 5890 Waterloo Crossing","5890 Waterloo Road","Road
										

										Columbia","MD","21045","667-214-2100","https://www.umms.org:443/ummc/locations/fpi-5890-waterloo-crossing"
"1584759956-89","https://www.umms.org/locations?page=1&perpage=50&q=&serv=Primary+Care%2fFamily+Medicine&dist=&zip=&view=list","UM SJMG Towson Medical Associates","7801 York Road","102										

										Towson","MD","21204","410-769-4920","https://www.umms.org:443/sjmc/locations/um-sjmg-towson-medical-associates"
"1584759956-91","https://www.umms.org/locations?page=1&perpage=50&q=&serv=Primary+Care%2fFamily+Medicine&dist=&zip=&view=list","UM SMG – Primary Care at Chestertown","126 Philosophers Terrace","102										

										Chestertown","MD","21620","410-778-1878","https://www.umms.org:443/shore/locations/smg-primary-care-chestertown"
