location-name,location_address_street,location_address_locality,location_address_region,location_address_postal_code,location_latitude,location_longitude,location_contact_phone_main,location_contact_phone_appointments,location_contact_phone_covid,location_contact_url_main
Houston Methodist Willowbrook Hospital,18220 State Hwy. 249,Houston,TX,77070,29.9667985,-95.5509017,281-737-1000,,,https://www.houstonmethodist.org/locations/willowbrook/
Houston Methodist Same Day Primary Care Clinic - Central,4710 Bellaire Blvd. Ste 175,Houston,TX,77401,29.70648221,-95.46111217,713-394-6724,,,https://www.houstonmethodist.org/pcg/same-day-clinics/
Houston Methodist Same Day Primary Care Clinic - El Camino Real,14903 El Camino Real,Houston,TX,77062,29.5763987,-95.1396975,713-394-6724,,,https://www.houstonmethodist.org/pcg/same-day-clinics/
Houston Methodist Same Day Primary Care Clinic - Mont Belvieu,8608 N. Hwy 146 Ste 600,Baytown,TX,77523,29.81680148,-94.90038724,713-394-6724,,,https://www.houstonmethodist.org/pcg/same-day-clinics/
Houston Methodist Same Day Primary Care Clinic - Sugar Land,18717 S. University Blvd. Ste 105,Sugar Land,TX,77479,29.56644937,-95.63560349,713-394-6724,,,https://www.houstonmethodist.org/pcg/same-day-clinics/
Houston Methodist Same Day Primary Care Clinic - The Woodlands,17189 I-45 Ste 205,The Woodlands,TX,77385,30.20725392,-95.4556696,713-394-6724,,,https://www.houstonmethodist.org/pcg/same-day-clinics/
Houston Methodist Same Day Primary Care Clinic - Willowbrook,18220 State Hwy. 249 Ste 400,Houston,TX,77070,29.9656415,-95.5505177,713-394-6724,,,https://www.houstonmethodist.org/pcg/same-day-clinics/
Memorial Hermann Convenient Care Center in Kingwood (Kingwood CCC),4533 Kingwood Drive,Kingwood,TX,77345,30.0541542,-95.15898076,346-320-5300,,,http://www.memorialhermann.org/locations/convenient-care-center-kingwood/
Memorial Hermann Convenient Care Center in Spring (Spring CCC),7474 N. Grand Parkway W.,Spring,TX,77379,30.03910229,-95.53379128,281-374-5400,,,http://www.memorialhermann.org/locations/spring-convenient-care-center/
Memorial Hermann Convenient Care Center in League City (League City CCC),2555 Gulf Freeway South,League City,TX,77573,29.4709921,-95.09628,832-932-9900,,,http://www.memorialhermann.org/locations/convenient-care-center-league-city/
Memorial Hermann Convenient Care Center in Greater Heights (Greater Heights CCC),1431 Studemont St,Houston,TX,77007,29.7729971,-95.3915742,346-701-3800,,,http://www.memorialhermann.org/locations/convenient-care-center-greater-heights/
Memorial Hermann Convenient Care Center at Sienna Plantation (Sienna CCC),8780 Highway 6 Ste B,Missouri City,TX,77459,29.53962388,-95.53621298,281-778-1105,,,http://www.memorialhermann.org/locations/sienna-plantation-ccc/
Memorial Hermann Convenient Care Center in Katy (Katy CCC),22430 Grand Corner Dr,Katy,TX,77494,29.74327083,-95.82859727,281-371-1800,,,http://www.memorialhermann.org/katy-ccc/
Memorial Hermann Convenient Care Center in Summer Creek (Summer Creek CCC),14201 E Sam Houston Pkwy N,Houston,TX,77044,29.89791297,-95.17695858,281-436-8800,,,http://www.memorialhermann.org/locations/northeast/convenient-care-center-summer-creek/
Memorial Hermann Northeast Hospital Emergency Center,18951 Memorial North,Humble,TX,77338,29.9962841,-95.27475117,281-540-7700,,,http://www.memorialhermann.org/locations/emergency-room-at-northeast/
Memorial Hermann Southwest Hospital Emergency Center,7600 Beechnut St,Houston,TX,77074,29.6931653,-95.5194151,713-456-5000,,,http://www.memorialhermann.org/locations/emergency-room-at-southwest/
Memorial Hermann 24-Hour Emergency Care,9950 Woodlands Pkwy,The Woodlands,TX,77382,30.19162366,-95.58575641,281-719-3333,,,http://www.memorialhermann.org/locations/memorial-hermann-24-hour-er-in-the-woodlands---spring/
Memorial Hermann The Woodlands Medical Center Emergency Center,9250 Pinecroft Drive,The Woodlands,TX,77380,30.17133202,-95.45826741,713-897-2300,,,http://www.memorialhermann.org/locations/the-woodlands-er---level-iii-trauma-center/
Memorial Hermann Pearland Hospital Emergency Center,16100 South Freeway,Pearland,TX,77584,29.5636842,-95.3888094,713-413-6500,,,http://www.memorialhermann.org/locations/pearland/emergency-center/
Memorial Hermann Southeast Hospital Emergency Center,11800 Astoria Blvd,Houston,TX,77089,29.5815304,-95.2076219,281-929-6100,,,http://www.memorialhermann.org/locations/southeast/memorial-hermann-southeast-hospital-emergency-center/
24 Hour Emergency Room - Convenient Care Center in Spring,7474 N. Grand Parkway W.,Spring,TX,77379,30.03910229,-95.53379128,281-374-5400,,,http://www.memorialhermann.org/locations/spring-emergency-room/
24 Hour Emergency Room - Convenient Care Center in Kingwood,4533 Kingwood Dr.  Ste 300,Kingwood,TX,77345,30.0541542,-95.15898076,346-320-5350,,,http://www.memorialhermann.org/locations/ccc-kingwood---er/
Memorial Hermann Sugar Land Hospital Emergency Center,17500 West Grand Pkwy South,Sugar Land,TX,77479,29.5645211,-95.6904844,281-725-5000,,,http://www.memorialhermann.org/locations/emergency-room-at-memorial-hermann-sugar-land/
24 Hour Emergency Room - Convenient Care Center in Summer Creek,14201 East Sam Houston Pkwy N,Houston,TX,77044,29.89791297,-95.17695858,281-436-8800,,,http://www.memorialhermann.org/locations/northeast/ccc-summer-creek---er/
Red Duke Trauma Institute (Texas Medical Center),6411 Fannin St,Houston,TX,77030,29.71510284,-95.39648513,713-704-4000,,,http://www.memorialhermann.org/locations/memorial-hermann-texas-medical-center/
24 Hour Emergency Room - Convenient Care Center in Sienna Plantation,8780 Highway 6,Missouri City,TX,77459,29.53962388,-95.53621298,281-778-1105,,,http://www.memorialhermann.org/locations/sugar-land/convenient-care-center-sienna---er/
Memorial Hermann Memorial City Medical Center Emergency Center,921 Gessner Rd,Houston,TX,77024,29.7813644,-95.545519,713-242-3070,,,http://www.memorialhermann.org/locations/memorial-city-medical-center-er/
Children's Memorial Hermann Hospital,6411 Fannin St,Houston,TX,77030,29.71510284,-95.39648513,713-704-5437,,,http://childrens.memorialhermann.org/er/children-s-memorial-hermann/
Baylor St. Luke's Medical Group - Primary Care,827 South Magnolia Boulevard,Magnolia,TX,77355,30.19988599,-95.73667717,936-266-3460,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-15
Baylor St. Luke's Medical Group - Primary Care,1111 West Frank Ave.,Lufkin,TX,75904,31.33772201,-94.74100449,936-632-0074,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-33
Baylor St. Luke's Medical Group - Primary Care,17521 St. Luke's Way,The Woodlands,TX,77384,30.2029697,-95.45949577,936-447-9618,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-4
Baylor St. Luke's Medical Group - Primary Care,17521 St. Luke's Way,The Woodlands,TX,77384,30.2029697,-95.45949577,936-266-2255,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-5
Baylor St. Luke's Medical Group - Primary Care,210 Lake Road,Lake Jackson,TX,77566,29.03742096,-95.4596308,979-285-9455,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-2
Baylor St. Luke's Medical Group - Primary Care,208 Oak Drive South,Lake Jackson,TX,77566,29.05213813,-95.44456876,979-285-3633,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-8
Baylor St. Luke's Medical Group - Primary Care,1327 Lake Pointe Parkway,Sugar Land,TX,77478,29.60527183,-95.62131198,281-637-7695,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-1
Baylor St. Luke's Medical Group - Primary Care,8558 Creekside Forest,The Woodlands,TX,77375,30.0955092,-95.58939657,832-534-7700,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-24
Baylor St. Luke's Medical Group - Primary Care,1327 Lake Pointe Parkway,Sugar Land,TX,77478,29.60527183,-95.62131198,281-637-7640,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care
Baylor St. Luke's Medical Group - Primary Care,1111 West Frank Ave.,Lufkin,TX,75904,31.33772201,-94.74100449,936-639-2244,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-25
Baylor St. Luke's Medical Group - Primary Care,20207 Chasewood Park Drive,Houston,TX,77070,29.9885253,-95.5682523,832-534-7860,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-7
Baylor St. Luke's Medical Group - Primary Care,1605 West Frank Avenue,Lufkin,TX,75904,31.33375405,-94.75294575,936-899-7380,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-26
Baylor St. Luke's Medical Group - Primary Care,2255 East Mossy Oaks Road,Spring,TX,77389,30.0902183,-95.4487657,832-534-7860,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-18
Baylor St. Luke's Medical Group - Primary Care,200 East Livingston,San Augustine,TX,75972,31.53120177,-94.10797377,936-275-9910,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-27
Baylor St. Luke's Medical Group - Primary Care,22710 Professional Drive,Kingwood,TX,77339,30.04813751,-95.25728134,281-312-8521,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-9
Baylor St. Luke's Medical Group - Primary Care,403 Ogletree Drive,Livingston,TX,77351,30.73067627,-94.93882612,936-328-3293,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-29
Baylor St. Luke's Medical Group - Primary Care,3251 I45 North,Conroe,TX,77304,30.32952176,-95.51412277,936-441-9000,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-0
Baylor St. Luke's Medical Group - Primary Care,403 Ogletree Drive,Livingston,TX,77351,30.73067627,-94.93882612,936-327-7799,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-30
Baylor St. Luke's Medical Group - Primary Care,602 Lawrence Street,Tomball,TX,77375,30.0881088,-95.62637,832-534-7880,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-14
Baylor St. Luke's Medical Group - Primary Care,504 East Hospital Street,San Augustine,TX,75972,31.53129805,-94.10527576,936-275-9716,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-31
Baylor St. Luke's Medical Group - Primary Care,17521 St. Luke's Way,The Woodlands,TX,77384,30.2029697,-95.45949577,936-447-9618,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-4
Baylor St. Luke's Medical Group - Primary Care,17521 St. Luke's Way,The Woodlands,TX,77384,30.2029697,-95.45949577,936-266-2255,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-5
Baylor St. Luke's Medical Group - Primary Care,210 Lake Road,Lake Jackson,TX,77566,29.03742096,-95.4596308,979-285-9455,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-2
Baylor St. Luke's Medical Group - Primary Care,208 Oak Drive South,Lake Jackson,TX,77566,29.05213813,-95.44456876,979-285-3633,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-8
Baylor St. Luke's Medical Group - Primary Care,1327 Lake Pointe Parkway,Sugar Land,TX,77478,29.60527183,-95.62131198,281-637-7695,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-1
Baylor St. Luke's Medical Group - Primary Care,8558 Creekside Forest,The Woodlands,TX,77375,30.0955092,-95.58939657,832-534-7700,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-24
Baylor St. Luke's Medical Group - Primary Care,1327 Lake Pointe Parkway,Sugar Land,TX,77478,29.60527183,-95.62131198,281-637-7640,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care
Baylor St. Luke's Medical Group - Primary Care,1111 West Frank Ave.,Lufkin,TX,75904,31.33772201,-94.74100449,936-639-2244,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-25
Baylor St. Luke's Medical Group - Primary Care,20207 Chasewood Park Drive,Houston,TX,77070,29.9885253,-95.5682523,832-534-7860,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-7
Baylor St. Luke's Medical Group - Primary Care,1605 West Frank Avenue,Lufkin,TX,75904,31.33375405,-94.75294575,936-899-7380,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-26
Baylor St. Luke's Medical Group - Primary Care,2255 East Mossy Oaks Road,Spring,TX,77389,30.0902183,-95.4487657,832-534-7860,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-18
Baylor St. Luke's Medical Group - Primary Care,200 East Livingston,San Augustine,TX,75972,31.53120177,-94.10797377,936-275-9910,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-27
Baylor St. Luke's Medical Group - Primary Care,22710 Professional Drive,Kingwood,TX,77339,30.04813751,-95.25728134,281-312-8521,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-9
Baylor St. Luke's Medical Group - Primary Care,403 Ogletree Drive,Livingston,TX,77351,30.73067627,-94.93882612,936-328-3293,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-29
Baylor St. Luke's Medical Group - Primary Care,3251 I45 North,Conroe,TX,77304,30.32952176,-95.51412277,936-441-9000,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-0
Baylor St. Luke's Medical Group - Primary Care,403 Ogletree Drive,Livingston,TX,77351,30.73067627,-94.93882612,936-327-7799,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-30
Baylor St. Luke's Medical Group - Primary Care,602 Lawrence Street,Tomball,TX,77375,30.0881088,-95.62637,832-534-7880,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-14
Baylor St. Luke's Medical Group - Primary Care,504 East Hospital Street,San Augustine,TX,75972,31.53129805,-94.10527576,936-275-9716,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-31
Baylor St. Luke's Medical Group - Primary Care,6363 San Felipe Street,Houston,TX,77057,29.7489208,-95.4966457,713-972-8900,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-20
Baylor St. Luke's Medical Group - Primary Care,818 West Frank Avenue,Lufkin,TX,75904,31.33881389,-94.73816941,936-699-5040,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-medical-group-primary-care-32
Emergency Department at CHI St. Luke's Health - Baylor St. Luke's Medical Center,6720 Bertner Avenue,Houston,TX,77030,29.70732167,-95.39916819,832-355-1000,,,https://www.chistlukeshealth.org/locations/emergency-department-chi-st-lukes-health-baylor-st-lukes-medical-center
Emergency Department at CHI St. Luke's Health - Brazosport Hospital,100 Medical Drive,Lake Jackson,TX,77566,29.02969669,-95.45242722,979-297-4411,,,https://www.chistlukeshealth.org/locations/emergency-department-chi-st-lukes-health-brazosport-hospital
Emergency Department at CHI St. Luke's Health - Lakeside Hospital,17400 St. Luke's Way,The Woodlands,TX,77384,30.19966445,-95.45771603,936-266-9000,,,https://www.chistlukeshealth.org/locations/emergency-department-chi-st-lukes-health-lakeside-hospital
Emergency Department at CHI St. Luke's Health - Patients Medical Center,4500 East Sam Houston Parkway South,Pasadena,TX,77505,29.64171523,-95.16059401,713-948-7000,,,https://www.chistlukeshealth.org/locations/emergency-department-chi-st-lukes-health-patients-medical-center
Emergency Department at CHI St. Luke's Health - Springwoods Village Hospital,2255 East Mossy Oaks Road,Spring,TX,77389,30.0902183,-95.4487657,346-305-5000,,,https://www.chistlukeshealth.org/locations/emergency-department-chi-st-lukes-health-springwoods-village-hospital
Emergency Department at CHI St. Luke's Health - Sugar Land Hospital,1317 Lake Pointe Parkway,Sugar Land,TX,77478,29.6037541,-95.6202678,281-637-7000,,,https://www.chistlukeshealth.org/locations/emergency-department-chi-st-lukes-health-sugar-land-hospital
Emergency Department at CHI St. Luke's Health - The Vintage Hospital,20171 Chasewood Park Drive,Houston,TX,77070,29.9892234,-95.5674329,832-534-5000,,,https://www.chistlukeshealth.org/locations/emergency-department-chi-st-lukes-health-vintage-hospital
Emergency Department at CHI St. Luke's Health - The Woodlands Hospital,17200 St. Luke's Way,The Woodlands,TX,77384,30.20262743,-95.45937964,936-266-2000,,,https://www.chistlukeshealth.org/locations/emergency-department-chi-st-lukes-health-woodlands-hospital
Baylor St. Luke's Emergency Center - Holcombe,2727 West Holcombe Boulevard,Houston,TX,77025,29.7052072,-95.4212132,832-355-7525,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-emergency-center-holcombe
Baylor St. Luke's Emergency Center - Pearland,11713 Shadow Creek Parkway,Pearland,TX,77584,29.5799462,-95.4008465,713-793-4600,,,https://www.chistlukeshealth.org/locations/baylor-st-lukes-emergency-center-pearland
CHI St. Luke's Health Emergency Center - Conroe,4019 I45 North,Conroe,TX,77304,30.32952176,-95.51412277,936-228-9447,,,https://www.chistlukeshealth.org/locations/chi-st-lukes-health-emergency-center-conroe
CHI St. Luke's Health Emergency Center - Huntsville,540 I45 South,Huntsville,TX,77340,30.64368651,-95.53985456,936-755-5288,,,https://www.chistlukeshealth.org/locations/chi-st-lukes-health-emergency-center-huntsville
CHI St. Luke's Health Emergency Center - Memorial,501 North Brentwood Drive,Lufkin,TX,75904,31.28224312,-94.71268718,936-699-5900,,,https://www.chistlukeshealth.org/locations/chi-st-lukes-health-emergency-center-memorial
CHI St. Luke's Health Emergency Center - Montgomery (Temporarily Closed),18057 Highway 105 West,Montgomery,TX,77356,30.37609561,-95.64018928,936-228-9489,,,https://www.chistlukeshealth.org/locations/chi-st-lukes-health-emergency-center-montgomery-temporarily-closed
CHI St. Luke's Health Emergency Center - Pasadena,5161 East Sam Houston Parkway South,Pasadena,TX,77505,29.6330317,-95.1662963,281-810-9326,,,https://www.chistlukeshealth.org/locations/chi-st-lukes-health-emergency-center-pasadena
CHI St. Luke's Health Emergency Center - Spring (Temporarily Closed),3515 Rayford Road,Spring,TX,77386,30.10984391,-95.38655148,832-510-6576,,,https://www.chistlukeshealth.org/locations/chi-st-lukes-health-emergency-center-spring-temporarily-closed
