web-scraper-order,web-scraper-start-url,location-name,location-address-street,location-address-locality,location-address-region,location-address-postal-code,location-contact-phone-main,location-contact-url-main,location-contact-url-main-href
"1584535928-438","https://www.ucsfhealth.org/locations","MarinHealth Primary Care","75 Rowland Way, Suite 100","Novato","CA","94945","Directions","MarinHealth Primary Care","https://www.ucsfhealth.org/clinics/marinhealth-primary-care"
"1584535928-463","https://www.ucsfhealth.org/locations","Liver Transplant at Fremont","1900 Mowry Ave.,  Suite 1","Fremont","CA","94538","Directions","Liver Transplant at Fremont","https://www.ucsfhealth.org/clinics/liver-transplant-at-fremont"
"1584535928-448","https://www.ucsfhealth.org/locations","null","1600 Market St.","San Francisco","CA","94102","Directions","null",""
"1584535928-399","https://www.ucsfhealth.org/locations","Lakeshore","1569 Sloat Blvd.","San Francisco","CA","94132","Directions","Lakeshore","https://www.ucsfhealth.org/locations/lakeshore"
"1584535928-452","https://www.ucsfhealth.org/locations","Circle Medical","333 First St., No. A","San Francisco","CA","94105","Directions","Circle Medical","https://circlemedical.com/ucsf"
"1584535928-422","https://www.ucsfhealth.org/locations","MarinHealth Internal Medicine","1341 South Eliseo Dr., Suite 200","Greenbrae","CA","94904","Directions","MarinHealth Internal Medicine","https://www.ucsfhealth.org/clinics/marinhealth-internal-medicine"
"1584535928-401","https://www.ucsfhealth.org/locations","Geary Boulevard","3575 Geary Blvd.","San Francisco","CA","94118","Directions","Geary Boulevard","https://www.ucsfhealth.org/locations/geary-boulevard"
"1584535928-398","https://www.ucsfhealth.org/locations","Laurel Village","3490 California St.","San Francisco","CA","94118","Directions","Laurel Village","https://www.ucsfhealth.org/locations/laurel-village"
"1584535928-455","https://www.ucsfhealth.org/locations","San Mateo Primary and Specialty Care","1100 Park Place, Suite 100","San Mateo","CA","94403","Directions","San Mateo Primary and Specialty Care","https://www.ucsfhealth.org/clinics/san-mateo-primary-and-specialty-care"
"1584535928-419","https://www.ucsfhealth.org/locations","MarinHealth Internal Medicine","2 Bon Air Rd., Suite 150","Larkspur","CA","94939","Directions","MarinHealth Internal Medicine","https://www.ucsfhealth.org/clinics/marinhealth-internal-medicine"
"1584535928-433","https://www.ucsfhealth.org/locations","MarinHealth Cardiovascular Performance Center","75 Rowland Way, Suite 250","Novato","CA","94945","Directions","MarinHealth Cardiovascular Performance Center","https://www.ucsfhealth.org/clinics/marinhealth-cardiovascular-performance-center"
"1584535928-426","https://www.ucsfhealth.org/locations","MarinHealth OB/GYN & Urogynecology","75 Rowland Way, Suite 275","Novato","CA","94945","Directions","MarinHealth OB/GYN & Urogynecology","https://www.ucsfhealth.org/clinics/marinhealth-obgyn-and-urogynecology"
"1584535928-474","https://www.ucsfhealth.org/locations","Gynecologic Oncology at Santa Rosa","100 Brookwood Ave.","Santa Rosa","CA","95404","Directions","Gynecologic Oncology at Santa Rosa","https://www.ucsfhealth.org/clinics/gynecologic-oncology-at-santa-rosa"
"1584535928-469","https://www.ucsfhealth.org/locations","Prenatal Diagnostic Center at Santa Rosa","100 Brookwood Ave.","Santa Rosa","CA","95404","Directions","Prenatal Diagnostic Center at Santa Rosa","https://www.ucsfhealth.org/clinics/prenatal-diagnostic-center-at-santa-rosa"
"1584535928-487","https://www.ucsfhealth.org/locations","Orthopedics and Sports Medicine at Mill Valley","750 Redwood Hwy.,  Suite 1204","Mill Valley","CA","94941","Directions","Orthopedics and Sports Medicine at Mill Valley","https://www.ucsfhealth.org/clinics/orthopedics-and-sports-medicine-at-mill-valley"
"1584535928-460","https://www.ucsfhealth.org/locations","Berkeley Outpatient Center","3100 San Pablo Ave.","Berkeley","CA","94702","Directions","Berkeley Outpatient Center","https://www.ucsfhealth.org/clinics/berkeley-outpatient-center"
"1584535928-400","https://www.ucsfhealth.org/locations","Daniel Burnham Court","1 Daniel Burnham Ct.","San Francisco","CA","94109","Directions","Daniel Burnham Court","https://www.ucsfhealth.org/locations/daniel-burnham-court"
"1584535928-470","https://www.ucsfhealth.org/locations","ALS Center at Monterey","2 Upper Ragsdale Dr.","Monterey","CA","93940","Directions","ALS Center at Monterey","https://www.ucsfhealth.org/clinics/als-center-at-monterey"
"1584535928-461","https://www.ucsfhealth.org/locations","Advanced Heart Failure at Walnut Creek","1450 Treat Blvd.,  Suite 200","Walnut Creek","CA","94597","Directions","Advanced Heart Failure at Walnut Creek","https://www.ucsfhealth.org/clinics/advanced-heart-failure-at-walnut-creek"
"1584535928-475","https://www.ucsfhealth.org/locations","Kidney Transplant at Walnut Creek","1450 Treat Blvd.,  Suite 200","Walnut Creek","CA","94597","Directions","Kidney Transplant at Walnut Creek","https://www.ucsfhealth.org/clinics/kidney-transplant-at-walnut-creek"
"1584535928-397","https://www.ucsfhealth.org/locations","Montgomery Street","1725 Montgomery St.","San Francisco","CA","94133","Directions","Montgomery Street","https://www.ucsfhealth.org/locations/montgomery-street"
"1584535928-439","https://www.ucsfhealth.org/locations","MarinHealth Rheumatology","2 Bon Air Rd., Suite 150","Larkspur","CA","94939","Directions","MarinHealth Rheumatology","https://www.ucsfhealth.org/clinics/marinhealth-rheumatology"
"1584535928-447","https://www.ucsfhealth.org/locations","null","199 West Portal Ave.","San Francisco","CA","94127","Directions","null",""
"1584535928-403","https://www.ucsfhealth.org/locations","MarinHealth Breast Surgical Oncology & Gynecologic Surgery","1350 S. Eliseo Dr., Suite 300","Greenbrae","CA","94904","Directions","MarinHealth Breast Surgical Oncology & Gynecologic Surgery","https://www.ucsfhealth.org/clinics/marinhealth-breast-surgical-oncology-and-gynecologic-surgery"
"1584535928-413","https://www.ucsfhealth.org/locations","MarinHealth Urology","1240 S. Eliseo Dr., Suite 200","Greenbrae","CA","94904","Directions","MarinHealth Urology","https://www.ucsfhealth.org/clinics/marinhealth-urology"
"1584535928-488","https://www.ucsfhealth.org/locations","Prenatal Diagnostic Center at Monterey","2 Upper Ragsdale Dr., Building B Suite B100","Monterey","CA","93940","Directions","Prenatal Diagnostic Center at Monterey","https://www.ucsfhealth.org/clinics/prenatal-diagnostic-center-at-monterey"
"1584535928-457","https://www.ucsfhealth.org/locations","UCSF – Washington Cancer Center","2500 Mowry Ave., Suite 227","Fremont","CA","94538","Directions","UCSF – Washington Cancer Center","https://www.ucsfhealth.org/clinics/ucsf-washington-cancer-center"
"1584535928-450","https://www.ucsfhealth.org/locations","null","17 E. Sir Francis Drake Blvd.","Larkspur","CA","94939","Directions","null",""
"1584535928-468","https://www.ucsfhealth.org/locations","Prenatal Diagnostic Center at Greenbrae","1300 S. Eliseo Dr.,  Suite 200","Greenbrae","CA","94904","Directions","Prenatal Diagnostic Center at Greenbrae","https://www.ucsfhealth.org/clinics/prenatal-diagnostic-center-at-greenbrae"
"1584535928-471","https://www.ucsfhealth.org/locations","ALS Center at Santa Rosa","100 Brookwood Ave.","Santa Rosa","CA","95404","Directions","ALS Center at Santa Rosa","https://www.ucsfhealth.org/clinics/als-center-at-santa-rosa"
"1584535928-412","https://www.ucsfhealth.org/locations","MarinHealth Urology","75 Rowland Way, Suite 200","Novato","CA","94945","Directions","MarinHealth Urology","https://www.ucsfhealth.org/clinics/marinhealth-urology"
"1584535928-445","https://www.ucsfhealth.org/locations","null","3900 Piedmont Ave.","Oakland","CA","94611","Directions","null",""
"1584535928-396","https://www.ucsfhealth.org/locations","Mission Bay","1825 Fourth St.","San Francisco","CA","94158","Directions","Mission Bay","https://www.ucsfhealth.org/locations/mission-bay"
"1584535928-416","https://www.ucsfhealth.org/locations","MarinHealth Cardiovascular Medicine","2 Bon Air Rd., Suite 100","Larkspur","CA","94939","Directions","MarinHealth Cardiovascular Medicine","https://www.ucsfhealth.org/clinics/marinhealth-cardiovascular-medicine"
"1584535928-404","https://www.ucsfhealth.org/locations","MarinHealth Endocrine & Diabetes Care","75 Rowland Way, Suite 200","Novato","CA","94945","Directions","MarinHealth Endocrine & Diabetes Care","https://www.ucsfhealth.org/clinics/marinhealth-endocrine-and-diabetes-care"
"1584535928-449","https://www.ucsfhealth.org/locations","null","180 Redwood St., Suite 350","San Francisco","CA","94102","Directions","null",""
"1584535928-415","https://www.ucsfhealth.org/locations","MarinHealth Infectious Disease","1100 Larkspur Landing Circle, Suite 10","Larkspur","CA","94939","Directions","MarinHealth Infectious Disease","https://www.ucsfhealth.org/clinics/marinhealth-infectious-disease"
"1584535928-444","https://www.ucsfhealth.org/locations","null","1085 Valencia St.","San Francisco","CA","94110","Directions","null",""
"1584535928-425","https://www.ucsfhealth.org/locations","MarinHealth OB/GYN & Urogynecology","100A Drakes Landing Road, Suite 225","Greenbrae","CA","94904","Directions","MarinHealth OB/GYN & Urogynecology","https://www.ucsfhealth.org/clinics/marinhealth-obgyn-and-urogynecology"
"1584535928-411","https://www.ucsfhealth.org/locations","MarinHealth Urology","1496 Professional Dr., Suite 603","Petaluma","CA","94954","Directions","MarinHealth Urology","https://www.ucsfhealth.org/clinics/marinhealth-urology"
"1584535928-480","https://www.ucsfhealth.org/locations","Cancer Center Redwood City","2900 Whipple Ave., Suite 115","Redwood City","CA","94062","Directions","Cancer Center Redwood City","https://www.ucsfhealth.org/clinics/cancer-center-redwood-city"
"1584535928-409","https://www.ucsfhealth.org/locations","MarinHealth Urology","3250 Beard Rd.","Napa","CA","94558","Directions","MarinHealth Urology","https://www.ucsfhealth.org/clinics/marinhealth-urology"
"1584535928-421","https://www.ucsfhealth.org/locations","MarinHealth Internal Medicine","75 Rowland Way, Suite 200","Novato","CA","94945","Directions","MarinHealth Internal Medicine","https://www.ucsfhealth.org/clinics/marinhealth-internal-medicine"
"1584535928-485","https://www.ucsfhealth.org/locations","Gynecologic Oncology at Greenbrae","1100 S. Eliseo Dr.,  Suite 1","Greenbrae","CA","94904","Directions","Gynecologic Oncology at Greenbrae","https://www.ucsfhealth.org/clinics/gynecologic-oncology-at-greenbrae"
"1584535928-405","https://www.ucsfhealth.org/locations","MarinHealth Endocrine & Diabetes Care","900 S. Eliseo Dr., Suite 201","Greenbrae","CA","94904","Directions","MarinHealth Endocrine & Diabetes Care","https://www.ucsfhealth.org/clinics/marinhealth-endocrine-and-diabetes-care"
"1584535928-424","https://www.ucsfhealth.org/locations","MarinHealth Pediatric Care","651 First St. West, Suite H","Sonoma","CA","95476","Directions","MarinHealth Pediatric Care","https://www.ucsfhealth.org/clinics/marinhealth-pediatric-care"
"1584535928-408","https://www.ucsfhealth.org/locations","MarinHealth General Surgery","75 Rowland Way, Suite 100","Novato","CA","94945","Directions","MarinHealth General Surgery","https://www.ucsfhealth.org/clinics/marinhealth-general-surgery"
"1584535928-441","https://www.ucsfhealth.org/locations","MarinHealth Orthopedic Surgery","347 Andrieux St.","Sonoma","CA","95476","Directions","MarinHealth Orthopedic Surgery","https://www.ucsfhealth.org/clinics/marinhealth-orthopedic-surgery"
"1584535928-478","https://www.ucsfhealth.org/locations","Kidney Transplant at Fresno","1313 E. Herndon Ave.,  Suite 106","Fresno","CA","93720","Directions","Kidney Transplant at Fresno","https://www.ucsfhealth.org/clinics/kidney-transplant-at-fresno"
"1584535928-451","https://www.ucsfhealth.org/locations","null","355 West Napa St., Suite B","Sonoma","CA","95476","Directions","null",""
"1584535928-446","https://www.ucsfhealth.org/locations","null","750 Redwood Hwy., Suite 1204","Mill Valley","CA","94114","Directions","null",""
"1584535928-477","https://www.ucsfhealth.org/locations","Kidney Transplant at Tracy","1520 Bessie Ave.,  Suite 102","Tracy","CA","95376","Directions","Kidney Transplant at Tracy","https://www.ucsfhealth.org/clinics/kidney-transplant-at-tracy"
"1584535928-406","https://www.ucsfhealth.org/locations","MarinHealth Supportive Care Center","1350 S. Eliseo Dr., Suite 130","Greenbrae","CA","94904","Directions","MarinHealth Supportive Care Center","https://www.ucsfhealth.org/clinics/marinhealth-supportive-care-center"
"1584535928-394","https://www.ucsfhealth.org/locations","Parnassus","400 Parnassus Ave.","San Francisco","CA","94143","Directions","Parnassus","https://www.ucsfhealth.org/locations/parnassus"
"1584535928-479","https://www.ucsfhealth.org/locations","Cancer Center San Mateo","218 DeAnza Blvd.","San Mateo","CA","94402","Directions","Cancer Center San Mateo","https://www.ucsfhealth.org/clinics/cancer-center-san-mateo"
"1584535928-489","https://www.ucsfhealth.org/locations","Preventive Genomics at Greenbrae","1100 S. Eliseo Dr.,  Suite 1","Greenbrae","CA","94904","Directions","Preventive Genomics at Greenbrae","https://www.ucsfhealth.org/clinics/preventive-genomics-at-greenbrae"
"1584535928-458","https://www.ucsfhealth.org/locations","Washington Prenatal Diagnostic Center","1900 Mowry Ave., Suite 101","Fremont","CA","94538","Directions","Washington Prenatal Diagnostic Center","https://www.ucsfhealth.org/clinics/washington-prenatal-diagnostic-center"
"1584535928-442","https://www.ucsfhealth.org/locations","MarinHealth Orthopedic Surgery","1240 South Eliseo Drive, Suite 101","Greenbrae","CA","94904","Directions","MarinHealth Orthopedic Surgery","https://www.ucsfhealth.org/clinics/marinhealth-orthopedic-surgery"
"1584535928-431","https://www.ucsfhealth.org/locations","MarinHealth Pediatric After-Hours Care","1100 Larkspur Landing Circle, Suite 10","Larkspur","CA","94939","Directions","MarinHealth Pediatric After-Hours Care","https://www.ucsfhealth.org/clinics/marinhealth-pediatric-after-hours-care"
"1584535928-483","https://www.ucsfhealth.org/locations","Breast Care Center in Marin","1100 S. Eliseo Dr.,  Suite 1","Greenbrae","CA","94904","Directions","Breast Care Center in Marin","https://www.ucsfhealth.org/clinics/breast-care-center-in-marin"
"1584535928-453","https://www.ucsfhealth.org/locations","Circle Medical","2300 Sutter St., No. 205","San Francisco","CA","94115","Directions","Circle Medical","https://circlemedical.com/ucsf"
"1584535928-436","https://www.ucsfhealth.org/locations","MarinHealth Primary Care","3 Harbor Dr., Suite 111","Sausalito","CA","94965","Directions","MarinHealth Primary Care","https://www.ucsfhealth.org/clinics/marinhealth-primary-care"
"1584535928-472","https://www.ucsfhealth.org/locations","Cystic Fibrosis Center at Pleasanton","5924 Stoneridge Dr.,  Suite 100","Pleasanton","CA","94588","Directions","Cystic Fibrosis Center at Pleasanton","https://www.ucsfhealth.org/clinics/cystic-fibrosis-center-at-pleasanton"
"1584535928-456","https://www.ucsfhealth.org/locations","null","347 Andrieux St.","Sonoma","CA","95476","Directions","null",""
"1584535928-427","https://www.ucsfhealth.org/locations","MarinHealth Adult After-Hours Care","75 Rowland Way, Suite 200","Novato","CA","94945","Directions","MarinHealth Adult After-Hours Care","https://www.ucsfhealth.org/clinics/marinhealth-adult-after-hours-care"
"1584535928-395","https://www.ucsfhealth.org/locations","Mount Zion","1600 Divisadero St.","San Francisco","CA","94115","Directions","Mount Zion","https://www.ucsfhealth.org/locations/mount-zion"
"1584535928-402","https://www.ucsfhealth.org/locations","China Basin","185 Berry St.","San Francisco","CA","94107","Directions","China Basin","https://www.ucsfhealth.org/locations/china-basin"
"1584535928-467","https://www.ucsfhealth.org/locations","Liver Transplant at Modesto","1444 Florida Ave.,  Suite 100","Modesto","CA","95350","Directions","Liver Transplant at Modesto","https://www.ucsfhealth.org/clinics/liver-transplant-at-modesto"
"1584535928-476","https://www.ucsfhealth.org/locations","Kidney Transplant at Monterey","2 Upper Ragsdale Dr.","Monterey","CA","93940","Directions","Kidney Transplant at Monterey","https://www.ucsfhealth.org/clinics/kidney-transplant-at-monterey"
"1584535928-464","https://www.ucsfhealth.org/locations","Liver Transplant at Fresno","2335 E. Kashian Lane,  Suite 220","Fresno","CA","93701","Directions","Liver Transplant at Fresno","https://www.ucsfhealth.org/clinics/liver-transplant-at-fresno"
"1584535928-428","https://www.ucsfhealth.org/locations","MarinHealth General & Colorectal Surgery","5 Bon Air Road, Suite 101","Larkspur","CA","94939","Directions","MarinHealth General & Colorectal Surgery","https://www.ucsfhealth.org/clinics/marinhealth-general-and-colorectal-surgery"
"1584535928-486","https://www.ucsfhealth.org/locations","Kidney Transplant at Modesto","1444 Florida Ave.,  Suite 100","Modesto","CA","95350","Directions","Kidney Transplant at Modesto","https://www.ucsfhealth.org/clinics/kidney-transplant-at-modesto"
"1584535928-418","https://www.ucsfhealth.org/locations","MarinHealth Cardiovascular Medicine","651 1st St. West, Suite L","Sonoma","CA","95476","Directions","MarinHealth Cardiovascular Medicine","https://www.ucsfhealth.org/clinics/marinhealth-cardiovascular-medicine"
"1584535928-420","https://www.ucsfhealth.org/locations","MarinHealth Internal Medicine","23 Reed Blvd., Suite 120","Mill Valley","CA","94941","Directions","MarinHealth Internal Medicine","https://www.ucsfhealth.org/clinics/marinhealth-internal-medicine"
"1584535928-430","https://www.ucsfhealth.org/locations","MarinHealth Family Medicine","75 Rowland Way, Suite 230","Novato","CA","94945","Directions","MarinHealth Family Medicine","https://www.ucsfhealth.org/clinics/marinhealth-family-medicine"
"1584535928-417","https://www.ucsfhealth.org/locations","MarinHealth Cardiovascular Medicine","75 Rowland Way, Suite 250","Novato","CA","94945","Directions","MarinHealth Cardiovascular Medicine","https://www.ucsfhealth.org/clinics/marinhealth-cardiovascular-medicine"
"1584535928-459","https://www.ucsfhealth.org/locations","UCSF-John Muir Health Cancer Center in Berkeley","3100 San Pablo Ave., Suite 430","Berkeley","CA","94702","Directions","UCSF-John Muir Health Cancer Center in Berkeley","https://www.ucsfhealth.org/clinics/ucsf-john-muir-health-cancer-center-in-berkeley"
"1584535928-407","https://www.ucsfhealth.org/locations","MarinHealth Critical Care & Pulmonology","1100 Larkspur Landing Circle, Suite 10","Larkspur","CA","94939","Directions","MarinHealth Critical Care & Pulmonology","https://www.ucsfhealth.org/clinics/marinhealth-critical-care-and-pulmonology"
"1584535928-462","https://www.ucsfhealth.org/locations","Advanced Heart Failure at Fremont","39141 Civic Center Dr.,  Suite 335","Fremont","CA","94538","Directions","Advanced Heart Failure at Fremont","https://www.ucsfhealth.org/clinics/advanced-heart-failure-at-fremont"
"1584535928-466","https://www.ucsfhealth.org/locations","Liver Transplant at Santa Clara","751 S. Bascom Ave.","San Jose","CA","95128","Directions","Liver Transplant at Santa Clara","https://www.ucsfhealth.org/clinics/liver-transplant-at-santa-clara"
"1584535928-435","https://www.ucsfhealth.org/locations","MarinHealth Primary Care","651 First St. West, Suite H","Sonoma","CA","95476","Directions","MarinHealth Primary Care","https://www.ucsfhealth.org/clinics/marinhealth-primary-care"
"1584535928-465","https://www.ucsfhealth.org/locations","Liver Transplant at Walnut Creek","1450 Treat Blvd.,  Suite 250B","Walnut Creek","CA","94597","Directions","Liver Transplant at Walnut Creek","https://www.ucsfhealth.org/clinics/liver-transplant-at-walnut-creek"
"1584535928-473","https://www.ucsfhealth.org/locations","Orthopedic Spine Surgery at Greenbrae","1100 S. Eliseo Dr.,  Suite 1","Greenbrae","CA","94904","Directions","Orthopedic Spine Surgery at Greenbrae","https://www.ucsfhealth.org/clinics/orthopedic-spine-surgery-at-greenbrae"
"1584535928-481","https://www.ucsfhealth.org/locations","Neurosurgery at Greenbrae","1100 S. Eliseo Dr.,  Suite 1","Greenbrae","CA","94904","Directions","Neurosurgery at Greenbrae","https://www.ucsfhealth.org/clinics/neurosurgery-at-greenbrae"
"1584535928-484","https://www.ucsfhealth.org/locations","Cardiology at Greenbrae","1100 S. Eliseo Dr.,  Suite 1","Greenbrae","CA","94904","Directions","Cardiology at Greenbrae","https://www.ucsfhealth.org/clinics/cardiology-at-greenbrae"
"1584535928-429","https://www.ucsfhealth.org/locations","MarinHealth Family Medicine","706 D St.","San Rafael","CA","94901","Directions","MarinHealth Family Medicine","https://www.ucsfhealth.org/clinics/marinhealth-family-medicine"
