web-scraper-order,web-scraper-start-url,location-name,location-address-street,location-address-locality,location-address-region,location-address-postal-code,location-contact-phone-main,location-contact-url-main,location-contact-url-main-href
"1584533435-360","https://lluh.org/locations","Loma Linda University Health Neuropathic Treatment Center","25455 Barton Rd., #208A","Loma Linda","CA","92354","909-558-6799","Loma Linda University Health Neuropathic Treatment Center","https://lluh.org/locations/loma-linda-university-health-neuropathic-treatment-center"
"1584533435-386","https://lluh.org/locations","Tom & Vi Zapara Rehabilitation Pavilion","25419 Barton Rd.","Loma Linda","CA","92354","909-558-6755","Tom & Vi Zapara Rehabilitation Pavilion","https://lluh.org/locations/tom-vi-zapara-rehabilitation-pavilion"
"1584533435-344","https://lluh.org/locations","Loma Linda University Children's Hospital","11234 Anderson St.","Loma Linda","CA","92354","800-825-5437","Loma Linda University Children's Hospital","https://lluh.org/locations/loma-linda-university-childrens-hospital"
"1584533435-374","https://lluh.org/locations","Loma Linda University Pediatric Clinic","25845 Barton Rd.","Loma Linda","CA","92354","909-558-2828","Loma Linda University Pediatric Clinic","https://lluh.org/locations/loma-linda-university-pediatric-clinic"
"1584533435-382","https://lluh.org/locations","Loma Linda University Transplant Institute","197 East Caroline Street, Suite 1400","San Bernardino","CA","92408","800-548-3790","Loma Linda University Transplant Institute","https://lluh.org/locations/loma-linda-university-transplant-institute"
"1584533435-369","https://lluh.org/locations","Loma Linda University Neurosurgery Clinic – Riverside","4500 Brockton Ave., #201","Riverside","CA","92501","951-682-3583","Loma Linda University Neurosurgery Clinic – Riverside","https://lluh.org/locations/loma-linda-university-neurosurgery-clinic-riverside"
"1584533435-356","https://lluh.org/locations","Loma Linda University Clinic - Hesperia","12021 Jacaranda Ave. #100","Hesperia","CA","92345","909-558-6388","Loma Linda University Clinic - Hesperia","https://lluh.org/locations/loma-linda-university-clinic-hesperia"
"1584533435-376","https://lluh.org/locations","Loma Linda University Pediatric Subspecialty Clinics","250 E. Caroline St.","San Bernardino","CA","92408","909-651-1900","Loma Linda University Pediatric Subspecialty Clinics","https://lluh.org/locations/loma-linda-university-pediatric-subspecialty-clinics"
"1584533435-380","https://lluh.org/locations","Loma Linda University Riverwalk Clinics","4244 Riverwalk Pkwy., #100","Riverside","CA","92506","null","Loma Linda University Riverwalk Clinics","https://lluh.org/locations/loma-linda-university-riverwalk-clinics"
"1584533435-367","https://lluh.org/locations","Loma Linda University Mountain View Clinics","11360 Mountain View Ave","Loma Linda","CA","92354","null","Loma Linda University Mountain View Clinics","https://lluh.org/locations/loma-linda-university-mountain-view-clinics"
"1584533435-375","https://lluh.org/locations","Loma Linda University Pediatric Clinic – Highland","7223 Church St., Suite C1","Highland","CA","92346","909-425-3939","Loma Linda University Pediatric Clinic – Highland","https://lluh.org/locations/loma-linda-university-pediatric-clinic-highland"
"1584533435-385","https://lluh.org/locations","Pediatric Ear, Nose, and Throat Surgery and Audiology","197 E Caroline Street, Suite 1100","San Bernardino","CA","92408","909-558-2824","Pediatric Ear, Nose, and Throat Surgery and Audiology","https://lluh.org/locations/pediatric-ear-nose-and-throat-surgery-and-audiology"
"1584533435-355","https://lluh.org/locations","Loma Linda University Children's Hospital Pediatric Specialty Clinics","2195 Club Center Dr.","San Bernardino","CA","92408","909-558-4000","Loma Linda University Children's Hospital Pediatric Specialty Clinics","https://lluh.org/locations/loma-linda-university-childrens-hospital-pediatric-specialty-clinics"
"1584533435-366","https://lluh.org/locations","Loma Linda University Moreno Valley Pediatrics Clinic","11401 Heacock St., Suite 330","Moreno Valley","CA","92557","951-247-8697","Loma Linda University Moreno Valley Pediatrics Clinic","https://lluh.org/locations/loma-linda-university-moreno-valley-pediatrics-clinic"
"1584533435-364","https://lluh.org/locations","Loma Linda University Medical Center Diabetes Treatment Center","11285 Mountain View Rd., Suite 40","Loma Linda","CA","92354","909-558-3022","Loma Linda University Medical Center Diabetes Treatment Center","https://lluh.org/locations/loma-linda-university-medical-center-diabetes-treatment-center"
"1584533435-370","https://lluh.org/locations","Loma Linda University Outpatient Dialysis Center","11375 Anderson St.","Loma Linda","CA","92354","909-558-4225","Loma Linda University Outpatient Dialysis Center","https://lluh.org/locations/loma-linda-university-outpatient-dialysis-center"
"1584533435-381","https://lluh.org/locations","Loma Linda University Sinus & Allergy Center","1895 Orange Tree Ln., 102","Redlands","CA","92374","909-558-2824","Loma Linda University Sinus & Allergy Center","https://lluh.org/locations/loma-linda-university-sinus-allergy-center"
"1584533435-358","https://lluh.org/locations","Loma Linda University Health - Park Plaza","1790 W. Park Avenue","Redlands","CA","92373","909-558-9556","Loma Linda University Health - Park Plaza","https://lluh.org/locations/loma-linda-university-health-park-plaza"
"1584533435-347","https://lluh.org/locations","Loma Linda University Medical Center Murrieta","28062 Baxter Rd.","Murrieta","CA","92563","951-290-4000","Loma Linda University Medical Center Murrieta","https://lluh.org/locations/loma-linda-university-medical-center-murrieta"
"1584533435-353","https://lluh.org/locations","Loma Linda University Center for Health Promotion (CHP)","24785 Stewart St., Suite 111","Loma Linda","CA","92354","909-558-4594","Loma Linda University Center for Health Promotion (CHP)","https://lluh.org/locations/loma-linda-university-center-health-promotion-chp"
"1584533435-383","https://lluh.org/locations","Loma Linda University Transplant Institute – Las Vegas","2020 Wellness Way, Suite 506","Las Vegas","NV","89106","702-823-0004","Loma Linda University Transplant Institute – Las Vegas","https://lluh.org/locations/loma-linda-university-transplant-institute-las-vegas"
"1584533435-350","https://lluh.org/locations","Loma Linda University Behavioral Health Institute","1686 Barton Rd.","Redlands","CA","92373","909-558-9500","Loma Linda University Behavioral Health Institute","https://lluh.org/locations/loma-linda-university-behavioral-health-institute"
"1584533435-349","https://lluh.org/locations","Surgical Center –  Highland Springs","81 South Highland Springs Ave.","Beaumont","CA","92223","951-849-3511","Surgical Center –  Highland Springs","https://lluh.org/locations/surgical-center-highland-springs"
"1584533435-372","https://lluh.org/locations","Loma Linda University PACE Clinic","25835 Barton Rd., Suite 101","Loma Linda","CA","92354","909-558-3611","Loma Linda University PACE Clinic","https://lluh.org/locations/loma-linda-university-pace-clinic"
"1584533435-354","https://lluh.org/locations","Loma Linda University Children's Health – Indio","null","Indio","CA","92201","760-477-0733","Loma Linda University Children's Health – Indio","https://lluh.org/locations/loma-linda-university-childrens-health-indio"
"1584533435-379","https://lluh.org/locations","Loma Linda University Professional Plaza","25455 Barton Rd.","Loma Linda","CA","92354","909-558-4000","Loma Linda University Professional Plaza","https://lluh.org/locations/loma-linda-university-professional-plaza"
"1584533435-384","https://lluh.org/locations","Loma Linda University Transplant Institute – Palm Springs","null","Rancho Mirage","CA","92270","800-548-3790","Loma Linda University Transplant Institute – Palm Springs","https://lluh.org/locations/loma-linda-university-transplant-institute-palm-springs"
"1584533435-352","https://lluh.org/locations","Loma Linda University Cancer Center","11234 Anderson St.","Loma Linda","CA","92354","800-782-2623","Loma Linda University Cancer Center","https://lluh.org/locations/loma-linda-university-cancer-center"
"1584533435-348","https://lluh.org/locations","Loma Linda University Surgical Hospital","26780 Barton Rd.","Redlands","CA","92373","877-558-6248","Loma Linda University Surgical Hospital","https://lluh.org/locations/loma-linda-university-surgical-hospital"
