web-scraper-order,web-scraper-start-url,name,pagination-item,pagination-item-href,address-street,address-locality,address-state,phone-direct,website,website-href,pagination-state,pagination-state-href,pagination-county,pagination-county-href
"1584290197-821","https://www.countyoffice.org/health-departments/","Tullahoma Health Department","Tullahoma Health Department","https://www.countyoffice.org/tullahoma-health-department-tullahoma-tn-b83/","615 Wilson Avenue","Tullahoma","Tennessee","931-455-9369","null","","Tennessee","https://www.countyoffice.org/tn-health-departments/","Coffee County","https://www.countyoffice.org/tn-coffee-county-health-departments/"
"1584288040-180","https://www.countyoffice.org/health-departments/","Tacoma / Pierce County Health Department","Tacoma / Pierce County Health Department","https://www.countyoffice.org/tacoma-pierce-county-health-department-tacoma-wa-b28/","3629 South D Street","Tacoma","Washington","253-798-6500","tpchd.org","http://www.tpchd.org/index.php","Washington","https://www.countyoffice.org/wa-health-departments/","Pierce County","https://www.countyoffice.org/wa-pierce-county-health-departments/"
"1584297482-3233","https://www.countyoffice.org/health-departments/","Fulton County Health Department","Fulton County Health Department","https://www.countyoffice.org/fulton-county-health-department-rochester-in-fb4/","125 East 9th Street","Rochester","Indiana","574-223-2881","co.fulton.in.us","http://www.co.fulton.in.us/health/","Indiana","https://www.countyoffice.org/in-health-departments/","Fulton County","https://www.countyoffice.org/in-fulton-county-health-departments/"
"1584298132-3755","https://www.countyoffice.org/health-departments/","South Central Public Health District - Bellevue Office","South Central Public Health District - Bellevue Office","https://www.countyoffice.org/south-central-public-health-district-bellevue-office-bellevue-id-5c1/","117 Ash Street","Bellevue","Idaho","208-788-4335","phd5.idaho.gov","http://www.phd5.idaho.gov/offices/index.htm","Idaho","https://www.countyoffice.org/id-health-departments/","Blaine County","https://www.countyoffice.org/id-blaine-county-health-departments/"
"1584290560-899","https://www.countyoffice.org/health-departments/","Horry County Health Department","Horry County Health Department","https://www.countyoffice.org/horry-county-health-department-conway-sc-2af/","1201 Creel Street","Conway","South Carolina","843-381-8260","null","","South Carolina","https://www.countyoffice.org/sc-health-departments/","Horry County","https://www.countyoffice.org/sc-horry-county-health-departments/"
"1584294765-1982","https://www.countyoffice.org/health-departments/","Ottawa County Health Department","Ottawa County Health Department","https://www.countyoffice.org/ottawa-county-health-department-holland-mi-148/","12251 James Street","Holland","Michigan","616-396-5266","miottawa.org","http://www.miottawa.org/health","Michigan","https://www.countyoffice.org/mi-health-departments/","Ottawa County","https://www.countyoffice.org/mi-ottawa-county-health-departments/"
"1584287563-60","https://www.countyoffice.org/health-departments/","Oconto County Health Department","Oconto County Health Department","https://www.countyoffice.org/oconto-county-health-department-oconto-wi-ca1/","501 Park Avenue","Oconto","Wisconsin","920-834-7000","null","","Wisconsin","https://www.countyoffice.org/wi-health-departments/","Oconto County","https://www.countyoffice.org/wi-oconto-county-health-departments/"
"1584293858-1790","https://www.countyoffice.org/health-departments/","East Prairie Health Department","East Prairie Health Department","https://www.countyoffice.org/east-prairie-health-department-east-prairie-mo-363/","202 East Pine Street","East Prairie","Missouri","573-649-5502","null","","Missouri","https://www.countyoffice.org/mo-health-departments/","Mississippi County","https://www.countyoffice.org/mo-mississippi-county-health-departments/"
"1584288794-398","https://www.countyoffice.org/health-departments/","Hubbardton Health Officer","Hubbardton Health Officer","https://www.countyoffice.org/hubbardton-health-officer-castleton-vt-6d7/","1831 Monument Hill Road","Castleton","Vermont","802-273-2951","null","","Vermont","https://www.countyoffice.org/vt-health-departments/","Rutland County","https://www.countyoffice.org/vt-rutland-county-health-departments/"
"1584289096-534","https://www.countyoffice.org/health-departments/","Town Health Officer - Ferrisburgh","Town Health Officer - Ferrisburgh","https://www.countyoffice.org/town-health-officer-ferrisburgh-ferrisburgh-vt-91c/","U.s. 7","Ferrisburgh","Vermont","802-877-3429","null","","Vermont","https://www.countyoffice.org/vt-health-departments/","Addison County","https://www.countyoffice.org/vt-addison-county-health-departments/"
"1584288285-245","https://www.countyoffice.org/health-departments/","Rappahannock County Health Department","Rappahannock County Health Department","https://www.countyoffice.org/rappahannock-county-health-department-washington-va-23a/","338A Gay Street","Washington","Virginia","540-675-3516","vdh.virginia.gov","http://www.vdh.virginia.gov/lhd/rappahannockrapidan/rappahannock.htm","Virginia","https://www.countyoffice.org/va-health-departments/","Rappahannock County","https://www.countyoffice.org/va-rappahannock-county-health-departments/"
"1584299266-4065","https://www.countyoffice.org/health-departments/","Glades County Health Department","Glades County Health Department","https://www.countyoffice.org/glades-county-health-department-moore-haven-fl-d6f/","956 U.s. 27","Moore Haven","Florida","863-946-0707","doh.state.fl.us","http://doh.state.fl.us/chdglades/home.html","Florida","https://www.countyoffice.org/fl-health-departments/","Glades County","https://www.countyoffice.org/fl-glades-county-health-departments/"
"1584295329-2178","https://www.countyoffice.org/health-departments/","Groton Board Of Health","Groton Board Of Health","https://www.countyoffice.org/groton-board-of-health-groton-ma-9ff/","173 Main Street","Groton","Massachusetts","978-448-1120","townofgroton.org","http://www.townofgroton.org/main?cmd=get-townbody&id=7","Massachusetts","https://www.countyoffice.org/ma-health-departments/","Middlesex County","https://www.countyoffice.org/ma-middlesex-county-health-departments/"
"1584292468-1355","https://www.countyoffice.org/health-departments/","New York State Health Department","New York State Health Department","https://www.countyoffice.org/new-york-state-health-department-troy-ny-b70/","1 Fulton Street","Troy","New York","518-408-5300","null","","New York","https://www.countyoffice.org/ny-health-departments/","Rensselaer County","https://www.countyoffice.org/ny-rensselaer-county-health-departments/"
"1584297342-3210","https://www.countyoffice.org/health-departments/","Ripley County Health Department","Ripley County Health Department","https://www.countyoffice.org/ripley-county-health-department-versailles-in-bc1/","# 106, 102 W 1st North St","Versailles","Indiana","812-689-5751","null","","Indiana","https://www.countyoffice.org/in-health-departments/","Ripley County","https://www.countyoffice.org/in-ripley-county-health-departments/"
"1584299486-4140","https://www.countyoffice.org/health-departments/","Town Of Old Lyme Health Department","Town Of Old Lyme Health Department","https://www.countyoffice.org/town-of-old-lyme-health-department-old-lyme-ct-cab/","52 Lyme Street","Old Lyme","Connecticut","860-434-1605","oldlyme-ct.gov","http://www.oldlyme-ct.gov/pages/oldlymect_health/index","Connecticut","https://www.countyoffice.org/ct-health-departments/","New London County","https://www.countyoffice.org/ct-new-london-county-health-departments/"
"1584292252-1301","https://www.countyoffice.org/health-departments/","Dare County Health Department","Dare County Health Department","https://www.countyoffice.org/dare-county-health-department-manteo-nc-f2c/","954 Marshall C Collins Drive","Manteo","North Carolina","252-475-5820","null","","North Carolina","https://www.countyoffice.org/nc-health-departments/","Dare County","https://www.countyoffice.org/nc-dare-county-health-departments/"
"1584290604-912","https://www.countyoffice.org/health-departments/","Dorchester County Health Department","Dorchester County Health Department","https://www.countyoffice.org/dorchester-county-health-department-st-george-sc-dff/","201 Gavin St","St. George","South Carolina","843-832-0041","null","","South Carolina","https://www.countyoffice.org/sc-health-departments/","Dorchester County","https://www.countyoffice.org/sc-dorchester-county-health-departments/"
"1584293234-1628","https://www.countyoffice.org/health-departments/","Camden County Department Of Health And Human Services","Camden County Department Of Health And Human Services","https://www.countyoffice.org/camden-county-department-of-health-and-human-services-blackwood-nj-5f9/","512 Lakeland Road","Blackwood","New Jersey","856-374-6000","co.camden.nj.us","http://www.co.camden.nj.us/health/healthserv/index.html","New Jersey","https://www.countyoffice.org/nj-health-departments/","Camden County","https://www.countyoffice.org/nj-camden-county-health-departments/"
"1584297591-3254","https://www.countyoffice.org/health-departments/","Whiteside County Health Department","Whiteside County Health Department","https://www.countyoffice.org/whiteside-county-health-department-sterling-il-af5/","2350 W Lynn Blvd","Sterling","Illinois","815-625-3507","null","","Illinois","https://www.countyoffice.org/il-health-departments/","Whiteside County","https://www.countyoffice.org/il-whiteside-county-health-departments/"
"1584298865-3924","https://www.countyoffice.org/health-departments/","Walton County Health Department","Walton County Health Department","https://www.countyoffice.org/walton-county-health-department-defuniak-springs-fl-815/","362 North 9th Street","DeFuniak Springs","Florida","850-892-8015","doh.state.fl.us","http://www.doh.state.fl.us/chdwalton/index.html","Florida","https://www.countyoffice.org/fl-health-departments/","Walton County","https://www.countyoffice.org/fl-walton-county-health-departments/"
"1584289262-585","https://www.countyoffice.org/health-departments/","Bear River Health Department","Bear River Health Department","https://www.countyoffice.org/bear-river-health-department-brigham-ut-649/","817 Parker Lane","Brigham","Utah","435-734-0845","null","","Utah","https://www.countyoffice.org/ut-health-departments/","Box Elder County","https://www.countyoffice.org/ut-box-elder-county-health-departments/"
"1584297409-3219","https://www.countyoffice.org/health-departments/","Lake County Health Department","Lake County Health Department","https://www.countyoffice.org/lake-county-health-department-crown-point-in-2d6/","2900 West 93rd Avenue","Crown Point","Indiana","null","null","","Indiana","https://www.countyoffice.org/in-health-departments/","Lake County","https://www.countyoffice.org/in-lake-county-health-departments/"
"1584300134-5062","https://www.countyoffice.org/health-departments/","California Department Of Health Services","California Department Of Health Services","https://www.countyoffice.org/california-department-of-health-services-sacramento-ca-ff4/","714 P Street","Sacramento","California","916-445-4171","cdph.ca.gov","http://www.cdph.ca.gov/pages/default.aspx","California","https://www.countyoffice.org/ca-health-departments/","Sacramento County","https://www.countyoffice.org/ca-sacramento-county-health-departments/"
"1584288609-312","https://www.countyoffice.org/health-departments/","Weathersfield Health Officer","Weathersfield Health Officer","https://www.countyoffice.org/weathersfield-health-officer-windsor-vt-2ef/","5259 U.s. 5","Windsor","Vermont","802-674-2626","null","","Vermont","https://www.countyoffice.org/vt-health-departments/","Windsor County","https://www.countyoffice.org/vt-windsor-county-health-departments/"
"1584288273-241","https://www.countyoffice.org/health-departments/","Virginia Department Of Health","Virginia Department Of Health","https://www.countyoffice.org/virginia-department-of-health-richmond-va-f9c/","109 Governor Street","Richmond","Virginia","804-864-7001","vdh.state.va.us","http://www.vdh.state.va.us/","Virginia","https://www.countyoffice.org/va-health-departments/","Richmond","https://www.countyoffice.org/va-richmond-city-health-departments/"
"1584288526-293","https://www.countyoffice.org/health-departments/","City Of Galax Health Department","City Of Galax Health Department","https://www.countyoffice.org/city-of-galax-health-department-galax-va-05f/","703 South Main Street","Galax","Virginia","276-236-6127","vdh.virginia.gov","http://www.vdh.virginia.gov/lhd/mtrogers/galax.htm","Virginia","https://www.countyoffice.org/va-health-departments/","Carroll County","https://www.countyoffice.org/va-carroll-county-health-departments/"
"1584296560-2844","https://www.countyoffice.org/health-departments/","Floyd County Health Department","Floyd County Health Department","https://www.countyoffice.org/floyd-county-health-department-prestonsburg-ky-d6b/","283 Goble Street","Prestonsburg","Kentucky","606-886-2788","floydcountyhealthdepartment.org","http://floydcountyhealthdepartment.org/","Kentucky","https://www.countyoffice.org/ky-health-departments/","Floyd County","https://www.countyoffice.org/ky-floyd-county-health-departments/"
"1584299350-4094","https://www.countyoffice.org/health-departments/","Florida State Health Department","Florida State Health Department","https://www.countyoffice.org/florida-state-health-department-lake-fl-229/","135 NE Hernando Ave","Lake","Florida","386-758-1058","null","","Florida","https://www.countyoffice.org/fl-health-departments/","Columbia County","https://www.countyoffice.org/fl-columbia-county-health-departments/"
"1584291411-1105","https://www.countyoffice.org/health-departments/","Wyandot County Health Department","Wyandot County Health Department","https://www.countyoffice.org/wyandot-county-health-department-upper-sandusky-oh-1d0/","127 South Sandusky Avenue","Upper Sandusky","Ohio","419-294-3852","wyandothealth.com","http://www.wyandothealth.com/","Ohio","https://www.countyoffice.org/oh-health-departments/","Wyandot County","https://www.countyoffice.org/oh-wyandot-county-health-departments/"
"1584290726-945","https://www.countyoffice.org/health-departments/","Pennsylvania State Health Department","Pennsylvania State Health Department","https://www.countyoffice.org/pennsylvania-state-health-department-warren-pa-be9/","223 North State Street","Warren","Pennsylvania","814-728-3566","null","","Pennsylvania","https://www.countyoffice.org/pa-health-departments/","Warren County","https://www.countyoffice.org/pa-warren-county-health-departments/"
"1584288448-275","https://www.countyoffice.org/health-departments/","Franklin County Health Department","Franklin County Health Department","https://www.countyoffice.org/franklin-county-health-department-rocky-mount-va-fc5/","365 Pell Avenue","Rocky Mount","Virginia","540-484-0292","null","","Virginia","https://www.countyoffice.org/va-health-departments/","Franklin County","https://www.countyoffice.org/va-franklin-county-health-departments/"
"1584294043-1833","https://www.countyoffice.org/health-departments/","Cedar County Health Department","Cedar County Health Department","https://www.countyoffice.org/cedar-county-health-department-el-dorado-springs-mo-89a/","1401 South Park Street","El Dorado Springs","Missouri","417-876-2511","cedarcountyhospital.org","http://www.cedarcountyhospital.org/cc_medical_mall_health.php","Missouri","https://www.countyoffice.org/mo-health-departments/","Cedar County","https://www.countyoffice.org/mo-cedar-county-health-departments/"
"1584290822-971","https://www.countyoffice.org/health-departments/","Pennsylvania Department Of Health","Pennsylvania Department Of Health","https://www.countyoffice.org/pennsylvania-department-of-health-williamsport-pa-2d1/","1000 Commerce Park Drive","Williamsport","Pennsylvania","570-327-3400","null","","Pennsylvania","https://www.countyoffice.org/pa-health-departments/","Lycoming County","https://www.countyoffice.org/pa-lycoming-county-health-departments/"
"1584294926-2010","https://www.countyoffice.org/health-departments/","Charlevoix Health Department","Charlevoix Health Department","https://www.countyoffice.org/charlevoix-health-department-charlevoix-mi-60b/","220 West Garfield Avenue","Charlevoix","Michigan","231-547-6523","null","","Michigan","https://www.countyoffice.org/mi-health-departments/","Charlevoix County","https://www.countyoffice.org/mi-charlevoix-county-health-departments/"
"1584292722-1431","https://www.countyoffice.org/health-departments/","Taos Health Department","Taos Health Department","https://www.countyoffice.org/taos-health-department-taos-nm-b2e/","224 Cruz Alta Road","Taos","New Mexico","575-758-5934","null","","New Mexico","https://www.countyoffice.org/nm-health-departments/","Taos County","https://www.countyoffice.org/nm-taos-county-health-departments/"
"1584299368-4100","https://www.countyoffice.org/health-departments/","Florida Department Of Health","Florida Department Of Health","https://www.countyoffice.org/florida-department-of-health-green-cove-springs-fl-0ac/","1305 Idlewild Avenue","Green Cove Springs","Florida","904-529-2800","null","","Florida","https://www.countyoffice.org/fl-health-departments/","Clay County","https://www.countyoffice.org/fl-clay-county-health-departments/"
"1584291438-1111","https://www.countyoffice.org/health-departments/","Van Wert County Health Department","Van Wert County Health Department","https://www.countyoffice.org/van-wert-county-health-department-van-wert-oh-ba9/","1179 Westwood Drive","Van Wert","Ohio","419-238-0808","null","","Ohio","https://www.countyoffice.org/oh-health-departments/","Van Wert County","https://www.countyoffice.org/oh-van-wert-county-health-departments/"
"1584292470-1356","https://www.countyoffice.org/health-departments/","New York State Health Department","New York State Health Department","https://www.countyoffice.org/new-york-state-health-department-troy-ny-b6e/","433 River Street","Troy","New York","518-402-0836","null","","New York","https://www.countyoffice.org/ny-health-departments/","Rensselaer County","https://www.countyoffice.org/ny-rensselaer-county-health-departments/"
"1584294997-2029","https://www.countyoffice.org/health-departments/","Southborough Board Of Health","Southborough Board Of Health","https://www.countyoffice.org/southborough-board-of-health-southborough-ma-0cf/","9 Cordaville Road","Southborough","Massachusetts","508-481-3013","southboroughtown.com","http://www.southboroughtown.com/health/health.htm","Massachusetts","https://www.countyoffice.org/ma-health-departments/","Worcester County","https://www.countyoffice.org/ma-worcester-county-health-departments/"
"1584294263-1882","https://www.countyoffice.org/health-departments/","Monroe County Health Department","Monroe County Health Department","https://www.countyoffice.org/monroe-county-health-department-amory-ms-461/","403 South Main Street","Amory","Mississippi","662-256-8833","null","","Mississippi","https://www.countyoffice.org/ms-health-departments/","Monroe County","https://www.countyoffice.org/ms-monroe-county-health-departments/"
"1584296097-2734","https://www.countyoffice.org/health-departments/","Jefferson Parrish Health Department","Jefferson Parrish Health Department","https://www.countyoffice.org/jefferson-parrish-health-department-marrero-la-f44/","1855 Ames Blvd","Marrero","Louisiana","504-349-8802","null","","Louisiana","https://www.countyoffice.org/la-health-departments/","Jefferson Parish","https://www.countyoffice.org/la-jefferson-parish-health-departments/"
"1584300022-5022","https://www.countyoffice.org/health-departments/","California State Health Department","California State Health Department","https://www.countyoffice.org/california-state-health-department-redding-ca-d90/","415 Knollcrest Drive","Redding","California","530-224-4800","null","","California","https://www.countyoffice.org/ca-health-departments/","Shasta County","https://www.countyoffice.org/ca-shasta-county-health-departments/"
"1584289767-716","https://www.countyoffice.org/health-departments/","Cameron County Department Of Health And Human Services","Cameron County Department Of Health And Human Services","https://www.countyoffice.org/cameron-county-department-of-health-and-human-services-harlingen-tx-029/","1390 West Expressway 83","Harlingen","Texas","956-247-3685","co.cameron.tx.us","http://www.co.cameron.tx.us/health/index.html","Texas","https://www.countyoffice.org/tx-health-departments/","Cameron County","https://www.countyoffice.org/tx-cameron-county-health-departments/"
"1584298134-3756","https://www.countyoffice.org/health-departments/","Idaho Health Department","Idaho Health Department","https://www.countyoffice.org/idaho-health-department-bellevue-id-502/","117 Ash Street","Bellevue","Idaho","208-788-4335","null","","Idaho","https://www.countyoffice.org/id-health-departments/","Blaine County","https://www.countyoffice.org/id-blaine-county-health-departments/"
"1584298638-3876","https://www.countyoffice.org/health-departments/","Floyd County Health Department","Floyd County Health Department","https://www.countyoffice.org/floyd-county-health-department-rome-ga-dde/","315 West 10th Street Northeast","Rome","Georgia","706-295-6123","null","","Georgia","https://www.countyoffice.org/ga-health-departments/","Floyd County","https://www.countyoffice.org/ga-floyd-county-health-departments/"
"1584299682-4226","https://www.countyoffice.org/health-departments/","Darien Health Department","Darien Health Department","https://www.countyoffice.org/darien-health-department-darien-ct-2f6/","2 Renshaw Road","Darien","Connecticut","203-656-7320","darienct.gov","http://www.darienct.gov/content/104/114/163/default.aspx","Connecticut","https://www.countyoffice.org/ct-health-departments/","Fairfield County","https://www.countyoffice.org/ct-fairfield-county-health-departments/"
"1584290995-1016","https://www.countyoffice.org/health-departments/","Allegheny County Health Department","Allegheny County Health Department","https://www.countyoffice.org/allegheny-county-health-department-pittsburgh-pa-eff/","3333 Forbes Avenue","Pittsburgh","Pennsylvania","412-687-2243","achd.net","http://www.achd.net/mainstart.html","Pennsylvania","https://www.countyoffice.org/pa-health-departments/","Allegheny County","https://www.countyoffice.org/pa-allegheny-county-health-departments/"
"1584298115-3751","https://www.countyoffice.org/health-departments/","Southeastern Health Department","Southeastern Health Department","https://www.countyoffice.org/southeastern-health-department-arco-id-483/","178 SUNSET Dr","Arco","Idaho","208-527-3463","null","","Idaho","https://www.countyoffice.org/id-health-departments/","Butte County","https://www.countyoffice.org/id-butte-county-health-departments/"
"1584294841-1997","https://www.countyoffice.org/health-departments/","Livingston County Health Department","Livingston County Health Department","https://www.countyoffice.org/livingston-county-health-department-howell-mi-16d/","2300 East Grand River Avenue","Howell","Michigan","517-546-3950","null","","Michigan","https://www.countyoffice.org/mi-health-departments/","Livingston County","https://www.countyoffice.org/mi-livingston-county-health-departments/"
"1584293045-1548","https://www.countyoffice.org/health-departments/","Jefferson Township Health Department","Jefferson Township Health Department","https://www.countyoffice.org/jefferson-township-health-department-jefferson-nj-b91/","1033 Weldon Road","Jefferson","New Jersey","973-208-6121","jeffersontownship.net","http://www.jeffersontownship.net/cit-e-access/webpage.cfm?tid=4&tpid=139","New Jersey","https://www.countyoffice.org/nj-health-departments/","Morris County","https://www.countyoffice.org/nj-morris-county-health-departments/"
"1584292424-1343","https://www.countyoffice.org/health-departments/","Hornell Health Department","Hornell Health Department","https://www.countyoffice.org/hornell-health-department-hornell-ny-15d/","107 Broadway","Hornell","New York","607-324-8371","null","","New York","https://www.countyoffice.org/ny-health-departments/","Steuben County","https://www.countyoffice.org/ny-steuben-county-health-departments/"
"1584293464-1689","https://www.countyoffice.org/health-departments/","Northern Cheyenne Tribal Health Department","Northern Cheyenne Tribal Health Department","https://www.countyoffice.org/northern-cheyenne-tribal-health-department-lame-deer-mt-ba1/","100 Eagle Feathers Street","Lame Deer","Montana","406-477-6722","null","","Montana","https://www.countyoffice.org/mt-health-departments/","Rosebud County","https://www.countyoffice.org/mt-rosebud-county-health-departments/"
