web-scraper-order,web-scraper-start-url,location-name,location-address-street,location-address-locality,location-address-region,location-address-postal-code,location-contact-phone-main,location-contact-url-main
"1584757902-31","https://www.hopkinsmedicine.org/directions/","Howard County Pulmonology & Sleep Medicine","Columbia Medical Arts Building","201
Columbia","MD","21044","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_howard_cty_pulm.html"
"1584757902-50","https://www.hopkinsmedicine.org/directions/","null","Sibley Medical Building","300
Washington","DC","20016","202-243-4480","https://www.hopkinsmedicine.org/directions/johns_hopkins_sibley_jhcp.html"
"1584757902-38","https://www.hopkinsmedicine.org/directions/","null","6410 Rockledge Drive","200
Bethesda","MD","20817","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_heart_care_bethesda.html"
"1584757902-47","https://www.hopkinsmedicine.org/directions/","Hagerstown","12916 Conamar Drive","204
Hagerstown","MD","21742","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_at_hager_park.html"
"1584757902-3","https://www.hopkinsmedicine.org/directions/","Johns Hopkins Kimmel Cancer Center","The Harry and Jeanette Weinberg Building","Broadway
Baltimore","MD","21231","410-502-1033","https://www.hopkinsmedicine.org/the_johns_hopkins_hospital/getting_here/directions_weinberg_building.html"
"1584757902-42","https://www.hopkinsmedicine.org/directions/","null","14955 Shady Grove Road","100
Rockville","MD","20850","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_in_montgomery_county.html"
"1584757902-18","https://www.hopkinsmedicine.org/directions/","East Baltimore Medical Center","1000 E. Eager St.","St.
Baltimore","MD","21202","410-522-9800","https://www.hopkinsmedicine.org/directions/johns_hopkins_east_baltimore.html"
"1584757902-12","https://www.hopkinsmedicine.org/directions/","Johns Hopkins Health Care & Surgery Center - White Marsh","The Health Care Center","200
White Marsh","MD","21236","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_white_marsh_jhcp.html"
"1584757902-24","https://www.hopkinsmedicine.org/directions/","Westminister","410 Malcolm Drive","C
Westminster","MD","21157","null","https://www.hopkinsmedicine.org/directions/johns_hopkins_in_westminster.html"
"1584757902-22","https://www.hopkinsmedicine.org/directions/","Green Spring Station - Lutherville, Md","Falls Concourse Building","304
Lutherville","MD","21093","410-847-3535","https://www.hopkinsmedicine.org/directions/johns_hopkins_green_spring_jhcp.html"
"1584757902-11","https://www.hopkinsmedicine.org/directions/","Johns Hopkins Health Care and Surgery Center - Odenton","1106 Annapolis Road","280
Odenton","MD","21113","410-874-1486","https://www.hopkinsmedicine.org/directions/odenton_health_care_surgery_center.html"
