web-scraper-order,web-scraper-start-url,name,address-street,address-locality,address-region,address-postal-code,phone,appointment-urlPathname,website,contact-phone-number,link-website,link-website-href,contact-name,contact-hours,contact-name-alt
"1584306516-6139","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Lake Nona","9637 Lake Nona Village Place","Orlando","FL","32827","407-723-1365","/schedule-urgent-care?location=9637%2BLake%2BNona%2BVillage%2BPlace%252C%2BOrlando%252C%2BFL%252C%2B32827","https://centracare.adventhealth.com/urgent-care/lake-nona","407-723-1365","AdventHealth Centra Care Lake Nona","https://centracare.adventhealth.com/urgent-care/lake-nona","AdventHealth Centra Care Lake Nona","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","Formerly known as Lake Nona Centra Care"
"1584306415-6109","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","null","730 Malabar Road Northeast, Suite B","Malabar","FL","32950","321-549-0696","null","null","","null","","","",""
"1584306520-6140","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Lake Mary","2948 West Lake Mary Boulevard","Lake Mary","FL","32746","407-732-7478","/schedule-urgent-care?location=2948%2BWest%2BLake%2BMary%2BBoulevard%252C%2BLake%2BMary%252C%2BFL%252C%2B32746","https://centracare.adventhealth.com/urgent-care/lake-mary","407-732-7478","AdventHealth Centra Care Lake Mary","https://centracare.adventhealth.com/urgent-care/lake-mary","AdventHealth Centra Care Lake Mary","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","Formerly known as Lake Mary Centra Care"
"1584306415-6105","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","null","40124 US HWY 27, Suite 205","Davenport","FL","33837","863-419-4000","null","null","","null","","","",""
"1584306447-6121","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care University","11550 University Boulevard","Orlando","FL","32817","407-384-0080","/schedule-urgent-care?location=11550%2BUniversity%2BBoulevard%252C%2BOrlando%252C%2BFL%252C%2B32817","https://centracare.adventhealth.com/urgent-care/university","407-384-0080","AdventHealth Centra Care University","https://centracare.adventhealth.com/urgent-care/university","AdventHealth Centra Care University","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","Formerly known as Florida Hospital Centra Care"
"1584306480-6130","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Palm Coast","1270 Palm Coast Parkway Northwest","Palm Coast","FL","32137","386-225-4631","/schedule-urgent-care?location=1270%2BPalm%2BCoast%2BParkway%2BNorthwest%252C%2BPalm%2BCoast%252C%2BFL%252C%2B32137","https://centracare.adventhealth.com/urgent-care/palm-coast","386-225-4631","AdventHealth Centra Care Palm Coast","https://centracare.adventhealth.com/urgent-care/palm-coast","AdventHealth Centra Care Palm Coast","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","Formerly known as Palm Coast Centra Care"
"1584306465-6126","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Sanford","4451 West 1st Street","Sanford","FL","32771","407-330-3412","/schedule-urgent-care?location=4451%2BWest%2B1st%2BStreet%252C%2BSanford%252C%2BFL%252C%2B32771","https://centracare.adventhealth.com/urgent-care/sanford","407-330-3412","AdventHealth Centra Care Sanford","https://centracare.adventhealth.com/urgent-care/sanford","AdventHealth Centra Care Sanford","Sunday: 8 am to 5 pm

Monday: 8 am to midnight

Tuesday: 8 am to midnight

Wednesday: 8 am to midnight

Thursday: 8 am to midnight

Friday: 8 am to midnight

Saturday: 8 am to 5 pm","Formerly known as Florida Hospital Centra Care"
"1584306535-6144","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Dr. Phillip's","8014 Conroy-Windermere Road, Suite 104","Orlando","FL","32835","407-291-8975","/schedule-urgent-care?location=8014%2BConroy-Windermere%2BRoad%252C%2BSuite%2B104%252C%2BOrlando%252C%2BFL%252C%2B32835","https://centracare.adventhealth.com/urgent-care/dr-phillips","407-291-8975","AdventHealth Centra Care Dr. Phillip's","https://centracare.adventhealth.com/urgent-care/dr-phillips","AdventHealth Centra Care Dr. Phillips","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","Formerly known as Florida Hospital Centra Care"
"1584306476-6129","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Poinciana","3759 Pleasant Hill Road","Kissimmee","FL","34746","863-419-2723","/hospital/adventhealth-heart-florida/schedule-urgent-care?location=3759%2BPleasant%2BHill%2BRoad%252C%2BKissimmee%252C%2BFL%252C%2B34746","https://centracare.adventhealth.com/urgent-care/poinciana","863-419-2723","AdventHealth Centra Care Poinciana","https://centracare.adventhealth.com/urgent-care/poinciana","AdventHealth Centra Care Poinciana","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","Formerly known as Urgent Care Poinciana"
"1584306415-6110","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","null","603 North Washington Avenue,  Suite 101","Titusville","FL","32796","321-268-5008","null","null","","null","","","",""
"1584306531-6143","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Hunter's Creek","3293 Greenwald Way North","Kissimmee","FL","34741","407-847-2796","/schedule-urgent-care?location=3293%2BGreenwald%2BWay%2BNorth%252C%2BKissimmee%252C%2BFL%252C%2B34741","https://centracare.adventhealth.com/urgent-care/hunters-creek","407-847-2796","AdventHealth Centra Care Hunter's Creek","https://centracare.adventhealth.com/urgent-care/hunters-creek","AdventHealth Centra Care Hunter's Creek","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","Formerly known as Florida Hospital Centra Care"
"1584306441-6119","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Wesley Chapel","1127 Bruce B Downs Boulevard","Wesley Chapel","FL","33543","813-536-1865","/schedule-urgent-care?location=1127%2BBruce%2BB%2BDowns%2BBoulevard%252C%2BWesley%2BChapel%252C%2BFL%252C%2B33543","https://centracare.adventhealth.com/urgent-care/wesley-chapel","813-536-1865","AdventHealth Centra Care Wesley Chapel","https://centracare.adventhealth.com/urgent-care/wesley-chapel","AdventHealth Centra Care Wesley Chapel","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","Formerly known as Florida Hospital Centra Care"
"1584306503-6136","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Longwood","855 South US Highway 17-92","Longwood","FL","32750","407-699-8400","/schedule-urgent-care?location=855%2BSouth%2BUS%2BHighway%2B17-92%252C%2BLongwood%252C%2BFL%252C%2B32750","https://centracare.adventhealth.com/urgent-care/longwood","407-699-8400","AdventHealth Centra Care Longwood","https://centracare.adventhealth.com/urgent-care/longwood","AdventHealth Centra Care Longwood","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","Formerly known as Florida Hospital Centra Care"
"1584306543-6147","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Corporate Care South Orange","2609 South Orange Avenue","Orlando","FL","32806","407-914-2926","/schedule-urgent-care?location=2609%2BSouth%2BOrange%2BAvenue%252C%2BOrlando%252C%2BFL%252C%2B32806","https://centracare.org/florida/locations/south-orange-centra-care/","null","AdventHealth Centra Care Corporate Care South Orange","https://centracare.org/florida/locations/south-orange-centra-care/","null","null","null"
"1584306498-6135","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Mt. Dora","19015 US Highway 441","Mount Dora","FL","32757","352-383-3484","/schedule-urgent-care?location=19015%2BUS%2BHighway%2B441%252C%2BMount%2BDora%252C%2BFL%252C%2B32757","https://centracare.adventhealth.com/urgent-care/mount-dora","352-383-3484","AdventHealth Centra Care Mt. Dora","https://centracare.adventhealth.com/urgent-care/mount-dora","AdventHealth Centra Care Mount Dora","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","Formerly known as Florida Hospital Centra Care"
"1584306451-6122","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Temple Terrace","5802 East Fowler Avenue","Temple Terrace","FL","33617","813-442-7493","/schedule-urgent-care?location=5802%2BEast%2BFowler%2BAvenue%252C%2BTemple%2BTerrace%252C%2BFL%252C%2B33617","https://centracare.adventhealth.com/urgent-care/temple-terrace","813-442-7493","AdventHealth Centra Care Temple Terrace","https://centracare.adventhealth.com/urgent-care/temple-terrace","AdventHealth Centra Care Temple Terrace","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","Formerly known as Florida Hospital Centra Care"
"1584306512-6138","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Lee Road","2540 Lee Road","Winter Park","FL","32789","407-629-9281","/schedule-urgent-care?location=2540%2BLee%2BRoad%252C%2BWinter%2BPark%252C%2BFL%252C%2B32789","https://centracare.adventhealth.com/urgent-care/lee-road","407-629-9281","AdventHealth Centra Care Lee Road","https://centracare.adventhealth.com/urgent-care/lee-road","AdventHealth Centra Care Lee Road","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","Formerly known as Florida Hospital Centra Care"
"1584306415-6108","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","null","1223 Gateway Drive, Suite 1E","Melbourne","FL","32901","321-725-4505","null","null","","null","","","",""
"1584306468-6127","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Sand Lake Road","2301 Sand Lake Road","Orlando","FL","32809","407-851-6478","/schedule-urgent-care?location=2301%2BSand%2BLake%2BRoad%252C%2BOrlando%252C%2BFL%252C%2B32809","https://centracare.adventhealth.com/urgent-care/sand-lake","407-851-6478","AdventHealth Centra Care Sand Lake Road","https://centracare.adventhealth.com/urgent-care/sand-lake","AdventHealth Centra Care Sand Lake","Sunday: 9 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 9 am to 5 pm","Formerly known as Florida Hospital Centra Care"
"1584306435-6117","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Winter Haven","7375 Cypress Gardens Boulevard","Winter Haven","FL","33884","863-325-8185","/hospital/adventhealth-lake-wales/schedule-urgent-care?location=7375%2BCypress%2BGardens%2BBoulevard%252C%2BWinter%2BHaven%252C%2BFL%252C%2B33884","https://centracare.adventhealth.com/urgent-care/winter-haven","863-325-8185","AdventHealth Centra Care Winter Haven","https://centracare.adventhealth.com/urgent-care/winter-haven","AdventHealth Centra Care Winter Haven","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","Formerly known as Urgent Care Cypress"
"1584306454-6123","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care St. Cloud","4660 13th Street","Saint Cloud","FL","34769","321-805-4650","/schedule-urgent-care?location=4660%2B13th%2BStreet%252C%2BSaint%2BCloud%252C%2BFL%252C%2B34769","https://centracare.adventhealth.com/urgent-care/st-cloud","321-805-4650","AdventHealth Centra Care St. Cloud","https://centracare.adventhealth.com/urgent-care/st-cloud","AdventHealth Centra Care St. Cloud","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","Formerly known as St. Cloud Centra Care"
"1584306429-6115","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Olathe","14744 West 119th Street","Olathe","KS","66062","913-839-1759","/schedule-urgent-care?location=14744%2BWest%2B119th%2BStreet%252C%2BOlathe%252C%2BKS%252C%2B66062","https://centracare.adventhealth.com/urgent-care/olathe","913-839-1759","AdventHealth Centra Care Olathe","https://centracare.adventhealth.com/urgent-care/olathe","AdventHealth Centra Care Olathe","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","Formerly known as Shawnee Mission Medical Center Centra Care Olathe"
"1584306495-6134","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Orange City","1360 Saxon Boulevard","Orange City","FL","32763","386-917-0074","/schedule-urgent-care?location=1360%2BSaxon%2BBoulevard%252C%2BOrange%2BCity%252C%2BFL%252C%2B32763","https://centracare.adventhealth.com/urgent-care/orange-city","386-917-0074","AdventHealth Centra Care Orange City","https://centracare.adventhealth.com/urgent-care/orange-city","AdventHealth Centra Care Orange City","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","Formerly known as Orange City Centra Care"
"1584306528-6142","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Kissimmee","4320 West Vine Street","Kissimmee","FL","34746","407-390-1888","/schedule-urgent-care?location=4320%2BWest%2BVine%2BStreet%252C%2BKissimmee%252C%2BFL%252C%2B34746","https://centracare.adventhealth.com/urgent-care/kissimmee","407-390-1888","AdventHealth Centra Care Kissimmee","https://centracare.adventhealth.com/urgent-care/kissimmee","AdventHealth Centra Care Kissimmee","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","Formerly known as Florida Hospital Centra Care"
"1584306472-6128","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Port Orange","1208 Dunlawton Avenue","Port Orange","FL","32127","386-304-7320","/schedule-urgent-care?location=1208%2BDunlawton%2BAvenue%252C%2BPort%2BOrange%252C%2BFL%252C%2B32127","https://centracare.adventhealth.com/urgent-care/port-orange","386-304-7320","AdventHealth Centra Care Port Orange","https://centracare.adventhealth.com/urgent-care/port-orange","AdventHealth Centra Care Port Orange","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","Formerly known as Florida Hospital Centra Care"
"1584306538-6145","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care DeLand","2293 South Woodland Boulevard","DeLand","FL","32720","386-279-7010","/schedule-urgent-care?location=2293%2BSouth%2BWoodland%2BBoulevard%252C%2BDeLand%252C%2BFL%252C%2B32720","https://centracare.adventhealth.com/urgent-care/deland","386-279-7010","AdventHealth Centra Care DeLand","https://centracare.adventhealth.com/urgent-care/deland","AdventHealth Centra Care DeLand","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","Formerly known as Florida Hospital Centra Care"
"1584306438-6118","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Winter Garden","3005 Daniels Road","Winter Garden","FL","34787","407-654-8186","/schedule-urgent-care?location=3005%2BDaniels%2BRoad%252C%2BWinter%2BGarden%252C%2BFL%252C%2B34787","https://centracare.adventhealth.com/urgent-care/winter-garden","407-654-8186","AdventHealth Centra Care Winter Garden","https://centracare.adventhealth.com/urgent-care/winter-garden","AdventHealth Centra Care Winter Garden","Sunday: 8 am to 5 pm

Monday: 8 am to 11 pm

Tuesday: 8 am to 11 pm

Wednesday: 8 am to 11 pm

Thursday: 8 am to 11 pm

Friday: 8 am to 11 pm

Saturday: 8 am to 5 pm","Formerly known as Winter Garden Village Centra Care"
"1584306420-6112","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care  Arden","436 Airport Road","Arden","NC","28704","828-650-7282","https://centracare.adventhealth.com/urgent-care/adventhealth-centra-care-arden","https://centracare.adventhealth.com/urgent-care/adventhealth-centra-care-arden","828-650-7282","AdventHealth Centra Care  Arden","https://centracare.adventhealth.com/urgent-care/adventhealth-centra-care-arden","AdventHealth Centra Care Arden","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","null"
"1584306415-6111","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","null","9040 Quivira Road","Lenexa","KS","66215","913-789-4099","/schedule-urgent-care?location=9040%2BQuivira%2BRoad%252C%2BLenexa%252C%2BKS%252C%2B66215","null","","null","","","",""
"1584306487-6132","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Ormond Beach","1245 West Granada Boulevard","Ormond Beach","FL","32174","386-317-9055","/schedule-urgent-care?location=1245%2BWest%2BGranada%2BBoulevard%252C%2BOrmond%2BBeach%252C%2BFL%252C%2B32174","https://centracare.adventhealth.com/urgent-care/ormond-beach","386-317-9055","AdventHealth Centra Care Ormond Beach","https://centracare.adventhealth.com/urgent-care/ormond-beach","AdventHealth Centra Care Ormond Beach","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","Formerly known as Ormond Beach Centra Care"
"1584306427-6114","https://www.adventhealth.com/find-a-location?f%5B0%5D=facility_type%3A32","AdventHealth Centra Care Overland Park","9099 West 135th St","Overland Park","KS","66221","913-549-4242","/schedule-urgent-care?location=9099%2BWest%2B135th%2BSt%252C%2BOverland%2BPark%252C%2BKS%252C%2B66221","https://centracare.adventhealth.com/urgent-care/overland-park","913-549-4242","AdventHealth Centra Care Overland Park","https://centracare.adventhealth.com/urgent-care/overland-park","AdventHealth Centra Care Overland Park","Sunday: 8 am to 5 pm

Monday: 8 am to 8 pm

Tuesday: 8 am to 8 pm

Wednesday: 8 am to 8 pm

Thursday: 8 am to 8 pm

Friday: 8 am to 8 pm

Saturday: 8 am to 5 pm","Formerly known as Shawnee Mission Medical Center Centra Care Overland Park"
