web-scraper-order,web-scraper-start-url,location-name,location-address-street,location-contact-phone-main,location-contact-url-main,location-contact-url-main-href,location-address-locality,location-address-region,location-address-postal-code
"1584469986-7548","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=1","Third Avenue Center","2028 3rd Ave.,","206.521.1231","Third Avenue Center","https://www.uwmedicine.org/locations/third-avenue-center","Seattle,","WA","98121"
"1584469991-7555","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=0","Family Medicine Clinic at Harborview","Patricia Steel Building,","206.520.5000","Family Medicine Clinic at Harborview","https://www.uwmedicine.org/locations/family-medicine-harborview","401 Broadway,","Suite 2075,","Seattle,"
"1584469991-7553","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=0","Covington Clinic South - Valley Medical Center","27500 168th Place SE,","253.395.2006","Covington Clinic South - Valley Medical Center","http://www.valleymed.org/CovingtonSUC/","Covington,","WA","98042"
"1584469991-7551","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=0","Adult Medicine Clinic at Harborview","Main Hospital, West Clinic ,","206.520.5000","Adult Medicine Clinic at Harborview","https://www.uwmedicine.org/locations/adult-medicine-harborview","325 9th Ave.,","Ground,","Seattle,"
"1584469991-7552","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=0","Cascade Clinic - Valley Medical Center","4033 Talbot Rd. S.,","425.656.5400","Cascade Clinic - Valley Medical Center","http://www.valleymed.org/cascadepc/","Renton,","WA","98055"
"1584469982-7530","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=2","UW Neighborhood Factoria Clinic","13231 SE 36th St.,","425.957.9000","UW Neighborhood Factoria Clinic","https://www.uwmedicine.org/locations/primary-care-factoria","Suite 110,","Bellevue,","WA"
"1584469991-7559","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=0","International Medicine Clinic at Harborview","Main Hospital, West Clinic ,","206.520.5000","International Medicine Clinic at Harborview","https://www.uwmedicine.org/locations/international-medicine-harborview","325 9th Ave.,","Ground Floor,","Seattle,"
"1584469977-7525","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=3","UW Neighborhood South Lake Union Clinic","750 Republican Street,","206.485.9000","UW Neighborhood South Lake Union Clinic","https://www.uwmedicine.org/locations/primary-care-south-lake-union","Building F,","2nd Floor,","Seattle,"
"1584469986-7540","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=1","Primary & Specialty Care Center at Ballard","1455 NW Leary Way,","null","Primary & Specialty Care Center at Ballard","https://www.uwmedicine.org/locations/uw-medicine-ballard","Seattle,","WA","98107"
"1584469982-7535","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=2","UW Neighborhood Olympia Clinic - Primary Care Services","3525 Ensign Rd. NE,","360.507.9100","UW Neighborhood Olympia Clinic - Primary Care Services","https://www.uwmedicine.org/locations/primary-care-olympia","Olympia,","WA","98506"
"1584469982-7531","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=2","UW Neighborhood Federal Way Clinic - Primary Care and Urgent Care Services","32018 23rd Ave. S,","253.839.3030","UW Neighborhood Federal Way Clinic - Primary Care and Urgent Care Services","https://www.uwmedicine.org/locations/primary-care-federal-way","Federal Way,","WA","98003"
"1584469991-7557","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=0","Hall Health Center","4060 East Stevens Way,","206.685.1011","Hall Health Center","https://www.uwmedicine.org/locations/hall-health-center","Seattle,","WA","98195"
"1584469982-7533","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=2","UW Neighborhood Kent-Des Moines Clinic","23213 Pacific Highway S,","206.870.8880","UW Neighborhood Kent-Des Moines Clinic","https://www.uwmedicine.org/locations/primary-care-kent-des-moines","Kent,","WA","98032"
"1584469986-7545","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=1","Primary Care at North Seattle","11011 Meridian Ave N.,","206.668.5181","Primary Care at North Seattle","https://www.uwmedicine.org/locations/northwest-primary-care-north-seattle-clinic","Seattle,","WA","98133"
"1584469991-7554","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=0","Fairwood Clinic - Valley Medical Center","14410 SE Petrovitsky Rd,","425.656.4242","Fairwood Clinic - Valley Medical Center","http://www.valleymed.org/fairwoodpc/","Renton,","WA","98058"
"1584469986-7549","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=1","UW Medical Center - Northwest","Main Hospital,","877.694.4677","UW Medical Center - Northwest","https://www.uwmedicine.org/locations/northwest-hospital","1550 N 115th St.,","Seattle,","WA"
"1584469986-7543","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=1","Primary Care at Fremont","400 N. 34th Street,","206.545.9300","Primary Care at Fremont","https://www.uwmedicine.org/locations/northwest-primary-care-fremont-clinic","Suite 203,","Seattle,","WA"
"1584469982-7529","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=2","UW Neighborhood Belltown Clinic","2505 2nd Ave.,","206.443.0400","UW Neighborhood Belltown Clinic","https://www.uwmedicine.org/locations/primary-care-belltown","Suite 200,","Seattle,","WA"
"1584469986-7542","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=1","Primary Care - Internal Medicine at UW Medical Center - Northwest","Medical Office Building,","206.668.1188","Primary Care - Internal Medicine at UW Medical Center - Northwest","https://www.uwmedicine.org/locations/northwest-primary-care-main-campus-clinic","1560 N 115th,","Suite 110,","Seattle,"
"1584469986-7547","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=1","Senior Care Clinic at Harborview","Main Hospital, West Clinic ,","206.744.4191","Senior Care Clinic at Harborview","https://www.uwmedicine.org/locations/senior-care-harborview","325 9th Ave.,","3rd Floor,","Seattle,"
"1584469982-7528","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=2","UW Neighborhood Ballard Clinic - Primary Care and Urgent Care Services","1455 NW Leary Way,","206.789.7777","UW Neighborhood Ballard Clinic - Primary Care and Urgent Care Services","https://www.uwmedicine.org/locations/primary-care-ballard","Suite 250,","Seattle,","WA"
"1584469986-7550","https://www.uwmedicine.org/search/locations?s=&f%5B0%5D=expertise%3APrimary%20care&latlng=&l=&page=1","UW Medicine Lopez Island Clinic","103 Washburn Place,","360.468.2245","UW Medicine Lopez Island Clinic","https://www.uwmedicine.org/locations/lopez-island-clinic","Lopez Island,","WA","98261"
